TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	BL	1	1	15	  -20.00	1	   -8.00	0	0	 7777.53	-15	7	NULL
real	ML	2	1	-15	  -20.00	0	    8.00	0	0	422604.00	-3	0	NULL
real	AL	3	1	-15	  -20.00	0	    8.00	0	0	  694.62	-15	7	NULL
real	EL	4	1	-15	  -20.00	0	    8.00	0	0	  574.99	-3	7	NULL
real	RR	5	1	15	   20.00	1	   -8.00	0	0	  501.15	-15	5	NULL
real	DL	6	1	15	  -20.00	0	    8.00	0	0	455385.00	15	7	NULL
real	GR	7	1	15	   20.00	1	   -8.00	0	0	  444.17	-3	7	NULL
real	NR	8	1	15	   20.00	1	   -8.00	0	0	501307.00	-3	0	NULL
real	JR	9	1	15	   20.00	1	   -8.00	0	0	506138.00	-15	0	NULL
real	QL	10	1	-15	  -20.00	0	    8.00	0	0	 1010.82	-15	5	NULL
real	DR	11	1	15	   20.00	1	   -8.00	0	0	515836.00	15	7	NULL
real	OR	12	1	-15	   20.00	1	   -8.00	0	0	525900.00	15	5	NULL
real	AR	13	1	-15	   20.00	1	   -8.00	0	0	  434.82	-15	7	NULL
real	ER	14	1	-15	   20.00	1	   -8.00	0	0	  560.50	-3	7	NULL
real	KL	15	1	-15	  -20.00	0	    8.00	0	0	539831.00	15	0	NULL
real	CL	16	1	-15	  -20.00	0	    8.00	0	0	543969.00	15	7	NULL
real	HL	17	1	15	  -20.00	0	    8.00	0	0	  396.79	-3	5	NULL
real	PL	18	1	15	  -20.00	0	    8.00	0	0	556201.00	15	5	NULL
real	OL	19	1	-15	  -20.00	0	    8.00	0	0	561225.00	15	5	NULL
real	FR	20	1	-15	   20.00	1	   -8.00	0	0	  567.16	-3	5	NULL
real	JL	21	1	15	  -20.00	0	    8.00	0	0	573808.00	-15	0	NULL
real	NL	22	1	15	  -20.00	0	    8.00	0	0	581256.00	-3	0	NULL
real	CR	23	1	-15	   20.00	1	   -8.00	0	0	585456.00	15	7	NULL
real	MR	24	1	-15	   20.00	1	   -8.00	0	0	590160.00	-3	0	NULL
real	FL	25	1	-15	  -20.00	0	    8.00	0	0	  432.49	-3	5	NULL
real	LR	26	1	15	   20.00	1	   -8.00	0	0	601965.00	15	0	NULL
real	HR	27	1	15	   20.00	1	   -8.00	0	0	  466.78	-3	5	NULL
real	RL	28	1	15	  -20.00	0	    8.00	0	0	 1381.56	-15	5	NULL
real	IR	29	1	-15	   20.00	1	   -8.00	0	0	615506.00	-15	0	NULL
real	PR	30	1	15	   20.00	1	   -8.00	0	0	620136.00	15	5	NULL
real	LL	31	1	15	  -20.00	0	    8.00	0	0	625435.00	15	0	NULL
real	IL	32	1	-15	  -20.00	0	    8.00	0	0	628980.00	-15	0	NULL
real	QR	33	1	-15	   20.00	1	   -8.00	0	0	  960.24	-15	5	NULL
real	KR	34	1	-15	   20.00	1	   -8.00	0	0	640149.00	15	0	NULL
real	BR	35	1	15	   20.00	1	   -8.00	0	0	  648.01	-15	7	NULL
real	GL	36	1	15	  -20.00	0	    8.00	0	0	  351.94	-3	7	NULL
real	EL	37	2	-15	  -12.00	0	    8.00	0	0	  915.20	-3	7	NULL
real	OL	38	2	-15	  -12.00	0	    8.00	0	0	665719.00	15	5	NULL
real	JR	39	2	15	   12.00	1	   -8.00	0	0	669629.00	-15	0	NULL
real	LL	40	2	15	  -12.00	0	    8.00	0	0	674125.00	15	0	NULL
real	GR	41	2	15	   12.00	1	   -8.00	0	0	  416.74	-3	7	NULL
real	HL	42	2	15	  -12.00	0	    8.00	0	0	  398.53	-3	5	NULL
real	QR	43	2	-15	   12.00	1	   -8.00	0	0	  539.68	-15	5	NULL
real	RL	44	2	15	  -12.00	0	    8.00	0	0	  488.72	-15	5	NULL
real	LR	45	2	15	   12.00	1	   -8.00	0	0	693243.00	15	0	NULL
real	PL	46	2	15	  -12.00	0	    8.00	0	0	697577.00	15	5	NULL
real	HR	47	2	15	   12.00	1	   -8.00	0	0	  425.20	-3	5	NULL
real	AL	48	2	-15	  -12.00	0	    8.00	0	0	  385.24	-15	7	NULL
real	BR	49	2	15	   12.00	1	   -8.00	0	0	  591.43	-15	7	NULL
real	KR	50	2	-15	   12.00	1	   -8.00	0	0	731179.00	15	0	NULL
real	RR	51	2	15	   12.00	1	   -8.00	0	0	  584.57	-15	5	NULL
real	PR	52	2	15	   12.00	1	   -8.00	0	0	742176.00	15	5	NULL
real	MR	53	2	-15	   12.00	1	   -8.00	0	0	748736.00	-3	0	NULL
real	FR	54	2	-15	   12.00	1	   -8.00	0	0	  464.64	-3	5	NULL
real	ML	55	2	-15	  -12.00	0	    8.00	0	0	767980.00	-3	0	NULL
real	QL	56	2	-15	  -12.00	0	    8.00	0	0	  508.30	-15	5	NULL
real	AR	57	2	-15	   12.00	1	   -8.00	0	0	  457.93	-15	7	NULL
real	OR	58	2	-15	   12.00	1	   -8.00	0	0	790750.00	15	5	NULL
real	JL	59	2	15	  -12.00	0	    8.00	0	0	794705.00	-15	0	NULL
real	NR	60	2	15	   12.00	1	   -8.00	0	0	798945.00	-3	0	NULL
real	DL	61	2	15	  -12.00	0	    8.00	0	0	803149.00	15	7	NULL
real	FL	62	2	-15	  -12.00	0	    8.00	0	0	  504.31	-3	5	NULL
real	NL	63	2	15	  -12.00	0	    8.00	0	0	816990.00	-3	0	NULL
real	CR	64	2	-15	   12.00	1	   -8.00	0	0	824901.00	15	7	NULL
real	CL	65	2	-15	  -12.00	0	    8.00	0	0	835153.00	15	7	NULL
real	DR	66	2	15	   12.00	1	   -8.00	0	0	845894.00	15	7	NULL
real	IL	67	2	-15	  -12.00	0	    8.00	0	0	860348.00	-15	0	NULL
real	KL	68	2	-15	  -12.00	0	    8.00	0	0	867227.00	15	0	NULL
real	ER	69	2	-15	   12.00	1	   -8.00	0	0	  465.03	-3	7	NULL
real	BL	70	2	15	-20	0	    4.00	1	1	  746.56	-15	7	NULL
real	IR	71	2	-15	   12.00	1	   -8.00	0	0	897131.00	-15	0	NULL
real	GL	72	2	15	  -12.00	0	    8.00	0	0	  636.42	-3	7	NULL
real	RL	73	3	15	   -4.00	0	    8.00	0	0	  637.20	-15	5	NULL
real	JL	74	3	15	   -4.00	0	    8.00	0	0	1144784.00	-15	0	NULL
real	FL	75	3	-15	   -4.00	1	   -4.00	1	1	  632.17	-3	5	NULL
real	RR	76	3	15	    4.00	1	   -8.00	0	0	  500.33	-15	5	NULL
real	PL	77	3	15	   -4.00	0	    8.00	0	0	1160441.00	15	5	NULL
real	KL	78	3	-15	   -4.00	1	   -4.00	1	1	1165079.00	15	0	NULL
real	NL	79	3	15	   -4.00	0	    8.00	0	0	1169160.00	-3	0	NULL
real	QR	80	3	-15	    4.00	1	   -8.00	0	0	  402.16	-15	5	NULL
real	LR	81	3	15	    4.00	1	   -8.00	0	0	1181907.00	15	0	NULL
real	QL	82	3	-15	   -4.00	0	    8.00	0	0	  364.16	-15	5	NULL
real	HL	83	3	15	   -4.00	0	    8.00	0	0	  406.70	-3	5	NULL
real	AR	84	3	-15	    4.00	1	   -8.00	0	0	  494.34	-15	7	NULL
real	OL	85	3	-15	   -4.00	0	    8.00	0	0	1201279.00	15	5	NULL
real	JR	86	3	15	    4.00	1	   -8.00	0	0	1205194.00	-15	0	NULL
real	OR	87	3	-15	    4.00	1	   -8.00	0	0	1209123.00	15	5	NULL
real	IR	88	3	-15	    4.00	1	   -8.00	0	0	1214446.00	-15	0	NULL
real	CR	89	3	-15	    4.00	1	   -8.00	0	0	1224614.00	15	7	NULL
real	GR	90	3	15	    4.00	1	   -8.00	0	0	  617.14	-3	7	NULL
real	ML	91	3	-15	   -4.00	0	    8.00	0	0	1238518.00	-3	0	NULL
real	EL	92	3	-15	   -4.00	0	    8.00	0	0	  506.83	-3	7	NULL
real	GL	93	3	15	   -4.00	0	    8.00	0	0	  460.96	-3	7	NULL
real	ER	94	3	-15	    4.00	1	   -8.00	0	0	  435.55	-3	7	NULL
real	FR	95	3	-15	    4.00	1	   -8.00	0	0	  422.87	-3	5	NULL
real	PR	96	3	15	    4.00	1	   -8.00	0	0	1269092.00	15	5	NULL
real	BR	97	3	15	    4.00	1	   -8.00	0	0	  438.44	-15	7	NULL
