TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	LL	1	1	15	  -20.00	1	   -8.00	0	0	349896.00	15	0	NULL
real	ER	2	1	-15	   20.00	1	   -8.00	0	0	  869.12	-3	7	NULL
real	KL	3	1	-15	  -20.00	0	    8.00	0	0	372842.00	15	0	NULL
real	FR	4	1	-15	   20.00	1	   -8.00	0	0	  588.16	-3	5	NULL
real	IL	5	1	-15	  -20.00	0	    8.00	0	0	387968.00	-15	0	NULL
real	LR	6	1	15	   20.00	1	   -8.00	0	0	393491.00	15	0	NULL
real	IR	7	1	-15	   20.00	1	   -8.00	0	0	398164.00	-15	0	NULL
real	CR	8	1	-15	   20.00	1	   -8.00	0	0	402041.00	15	7	NULL
real	ML	9	1	-15	  -20.00	0	    8.00	0	0	405757.00	-3	0	NULL
real	JL	10	1	15	  -20.00	0	    8.00	0	0	410872.00	-15	0	NULL
real	BR	11	1	15	   20.00	1	   -8.00	0	0	  612.72	-15	7	NULL
real	OR	12	1	-15	   20.00	1	   -8.00	0	0	418757.00	15	5	NULL
real	MR	13	1	-15	   20.00	1	   -8.00	0	0	423836.00	-3	0	NULL
real	OL	14	1	-15	  -20.00	0	    8.00	0	0	427828.00	15	5	NULL
real	AR	15	1	-15	   20.00	1	   -8.00	0	0	  578.66	-15	7	NULL
real	QL	16	1	-15	  -20.00	0	    8.00	0	0	  568.11	-15	5	NULL
real	DL	17	1	15	  -20.00	0	    8.00	0	0	441852.00	15	7	NULL
real	CL	18	1	-15	  -20.00	0	    8.00	0	0	446343.00	15	7	NULL
real	NR	19	1	15	   20.00	1	   -8.00	0	0	451076.00	-3	0	NULL
real	GR	20	1	15	   20.00	1	   -8.00	0	0	  579.52	-3	7	NULL
real	QR	21	1	-15	   20.00	1	   -8.00	0	0	  585.39	-15	5	NULL
real	JR	22	1	15	   20.00	1	   -8.00	0	0	463639.00	-15	0	NULL
real	BL	23	1	15	  -20.00	0	    8.00	0	0	  697.25	-15	7	NULL
real	PR	24	1	15	   20.00	1	   -8.00	0	0	473372.00	15	5	NULL
real	EL	25	1	-15	  -20.00	0	    8.00	0	0	  659.29	-3	7	NULL
real	AL	26	1	-15	  -20.00	0	    8.00	0	0	  722.86	-15	7	NULL
real	NL	27	1	15	  -20.00	0	    8.00	0	0	491194.00	-3	0	NULL
real	HL	28	1	15	  -20.00	0	    8.00	0	0	  519.81	-3	5	NULL
real	PL	29	1	15	  -20.00	0	    8.00	0	0	500819.00	15	5	NULL
real	RL	30	1	15	  -20.00	0	    8.00	0	0	  479.39	-15	5	NULL
real	RR	31	1	15	   20.00	1	   -8.00	0	0	  572.39	-15	5	NULL
real	DR	32	1	15	   20.00	1	   -8.00	0	0	513784.00	15	7	NULL
real	FL	33	1	-15	  -20.00	0	    8.00	0	0	  691.06	-3	5	NULL
real	KR	34	1	-15	   20.00	1	   -8.00	0	0	524652.00	15	0	NULL
real	HR	35	1	15	   20.00	1	   -8.00	0	0	  540.58	-3	5	NULL
real	GL	36	1	15	  -20.00	0	    8.00	0	0	  716.58	-3	7	NULL
real	OL	37	2	-15	  -12.00	0	    8.00	0	0	544621.00	15	5	NULL
real	FR	38	2	-15	   12.00	1	   -8.00	0	0	  634.41	-3	5	NULL
real	KR	39	2	-15	   12.00	1	   -8.00	0	0	553730.00	15	0	NULL
real	JR	40	2	15	   12.00	1	   -8.00	0	0	557992.00	-15	0	NULL
real	MR	41	2	-15	   12.00	1	   -8.00	0	0	562056.00	-3	0	NULL
real	HL	42	2	15	  -12.00	0	    8.00	0	0	  594.81	-3	5	NULL
real	GL	43	2	15	  -12.00	0	    8.00	0	0	  817.40	-3	7	NULL
real	JL	44	2	15	  -12.00	0	    8.00	0	0	577849.00	-15	0	NULL
real	BL	45	2	15	  -12.00	0	    8.00	0	0	  630.57	-15	7	NULL
real	QR	46	2	-15	   12.00	1	   -8.00	0	0	  501.24	-15	5	NULL
real	NR	47	2	15	   12.00	1	   -8.00	0	0	592323.00	-3	0	NULL
real	IL	48	2	-15	  -12.00	0	    8.00	0	0	596457.00	-15	0	NULL
real	BR	49	2	15	   12.00	1	   -8.00	0	0	  535.54	-15	7	NULL
real	RL	50	2	15	  -12.00	0	    8.00	0	0	  489.02	-15	5	NULL
real	HR	51	2	15	   12.00	1	   -8.00	0	0	  547.25	-3	5	NULL
real	EL	52	2	-15	  -12.00	0	    8.00	0	0	  528.59	-3	7	NULL
real	GR	53	2	15	   12.00	1	   -8.00	0	0	  455.45	-3	7	NULL
real	PR	54	2	15	   12.00	1	   -8.00	0	0	623589.00	15	5	NULL
real	DR	55	2	15	   12.00	1	   -8.00	0	0	628339.00	15	7	NULL
real	AR	56	2	-15	   12.00	1	   -8.00	0	0	  547.34	-15	7	NULL
real	CR	57	2	-15	   12.00	1	   -8.00	0	0	636745.00	15	7	NULL
real	PL	58	2	15	  -12.00	0	    8.00	0	0	640717.00	15	5	NULL
real	LL	59	2	15	-20	0	    4.00	1	1	645126.00	15	0	NULL
real	KL	60	2	-15	  -12.00	0	    8.00	0	0	649084.00	15	0	NULL
real	OR	61	2	-15	   12.00	1	   -8.00	0	0	653530.00	15	5	NULL
real	RR	62	2	15	   12.00	1	   -8.00	0	0	  895.53	-15	5	NULL
real	IR	63	2	-15	   12.00	1	   -8.00	0	0	664287.00	-15	0	NULL
real	FL	64	2	-15	  -12.00	0	    8.00	0	0	  722.81	-3	5	NULL
real	AL	65	2	-15	  -12.00	0	    8.00	0	0	  650.41	-15	7	NULL
real	LR	66	2	15	   12.00	1	   -8.00	0	0	678567.00	15	0	NULL
real	DL	67	2	15	  -12.00	0	    8.00	0	0	683125.00	15	7	NULL
real	ER	68	2	-15	   12.00	1	   -8.00	0	0	  786.87	-3	7	NULL
real	QL	69	2	-15	  -12.00	0	    8.00	0	0	  814.77	-15	5	NULL
real	CL	70	2	-15	  -12.00	0	    8.00	0	0	696151.00	15	7	NULL
real	ML	71	2	-15	  -12.00	0	    8.00	0	0	700563.00	-3	0	NULL
real	NL	72	2	15	  -12.00	0	    8.00	0	0	704875.00	-3	0	NULL
real	AL	73	3	-15	   -4.00	0	    8.00	0	0	  849.41	-15	7	NULL
real	OR	74	3	-15	    4.00	1	   -8.00	0	0	714197.00	15	5	NULL
real	EL	75	3	-15	   -4.00	0	    8.00	0	0	 2789.45	-3	7	NULL
real	FL	76	3	-15	   -4.00	0	    8.00	0	0	 1494.96	-3	5	NULL
real	MR	77	3	-15	    4.00	1	   -8.00	0	0	731493.00	-3	0	NULL
real	QR	78	3	-15	    4.00	1	   -8.00	0	0	  814.41	-15	5	NULL
real	LL	79	3	15	  -16.00	0	    4.00	0	1	740704.00	15	0	NULL
real	DL	80	3	15	   -4.00	0	    8.00	0	0	745098.00	15	7	NULL
real	BL	81	3	15	   -4.00	0	    8.00	0	0	  930.09	-15	7	NULL
real	GR	82	3	15	    4.00	1	   -8.00	0	0	  762.41	-3	7	NULL
real	PR	83	3	15	    4.00	1	   -8.00	0	0	758349.00	15	5	NULL
real	GL	84	3	15	   -4.00	0	    8.00	0	0	  757.52	-3	7	NULL
real	CR	85	3	-15	    4.00	1	   -8.00	0	0	767237.00	15	7	NULL
real	AR	86	3	-15	    4.00	1	   -8.00	0	0	  727.26	-15	7	NULL
real	BR	87	3	15	    4.00	1	   -8.00	0	0	  854.52	-15	7	NULL
real	ER	88	3	-15	    4.00	1	   -8.00	0	0	  586.12	-3	7	NULL
real	JR	89	3	15	    4.00	1	   -8.00	0	0	784378.00	-15	0	NULL
real	DR	90	3	15	    4.00	1	   -8.00	0	0	789005.00	15	7	NULL
real	RR	91	3	15	    4.00	1	   -8.00	0	0	  769.11	-15	5	NULL
real	JL	92	3	15	   -4.00	0	    8.00	0	0	798195.00	-15	0	NULL
real	KR	93	3	-15	    4.00	1	   -8.00	0	0	803936.00	15	0	NULL
real	LR	94	3	15	    4.00	1	   -8.00	0	0	809794.00	15	0	NULL
real	RL	95	3	15	   -4.00	0	    8.00	0	0	  710.31	-15	5	NULL
real	ML	96	3	-15	   -4.00	1	   -4.00	1	1	818741.00	-3	0	NULL
real	HR	97	3	15	    4.00	1	   -8.00	0	0	  730.66	-3	5	NULL
real	PL	98	3	15	   -4.00	0	    8.00	0	0	828292.00	15	5	NULL
real	IR	99	3	-15	    4.00	1	   -8.00	0	0	832042.00	-15	0	NULL
real	QL	100	3	-15	   -4.00	0	    8.00	0	0	  846.77	-15	5	NULL
real	IL	101	3	-15	   -4.00	0	    8.00	0	0	843500.00	-15	0	NULL
real	NR	102	3	15	    4.00	1	   -8.00	0	0	849939.00	-3	0	NULL
real	KL	103	3	-15	   -4.00	0	    8.00	0	0	855833.00	15	0	NULL
real	OL	104	3	-15	   -4.00	0	    8.00	0	0	861606.00	15	5	NULL
real	HL	105	3	15	   -4.00	0	    8.00	0	0	  871.28	-3	5	NULL
real	NL	106	3	15	   -4.00	0	    8.00	0	0	874178.00	-3	0	NULL
real	CL	107	3	-15	   -4.00	0	    8.00	0	0	879166.00	15	7	NULL
real	FR	108	3	-15	    4.00	1	   -8.00	0	0	  753.35	-3	5	NULL
real	IR	109	4	-15	   -4.00	0	    4.00	1	1	887521.00	-15	0	NULL
real	CL	110	4	-15	    4.00	1	   -4.00	1	1	892040.00	15	7	NULL
real	FL	111	4	-15	    4.00	1	   -4.00	1	1	  678.36	-3	5	NULL
real	FR	112	4	-15	   -4.00	0	    4.00	1	1	  932.82	-3	5	NULL
real	LR	113	4	15	   -4.00	0	    4.00	1	1	909704.00	15	0	NULL
real	JL	114	4	15	    4.00	1	   -4.00	1	1	915938.00	-15	0	NULL
real	HL	115	4	15	    4.00	1	   -4.00	1	1	  891.16	-3	5	NULL
real	GL	116	4	15	    4.00	1	   -4.00	1	1	  867.43	-3	7	NULL
real	BR	117	4	15	   -4.00	0	    4.00	1	1	  723.24	-15	7	NULL
real	AL	118	4	-15	    4.00	1	   -4.00	1	1	  858.82	-15	7	NULL
real	HR	119	4	15	   -4.00	0	    4.00	1	1	  704.08	-3	5	NULL
real	OL	120	4	-15	    4.00	1	   -4.00	1	1	945486.00	15	5	NULL
real	BL	121	4	15	    4.00	1	   -4.00	1	1	  730.32	-15	7	NULL
real	QL	122	4	-15	    4.00	1	   -4.00	1	1	  548.60	-15	5	NULL
real	QR	123	4	-15	   -4.00	0	    4.00	1	1	  602.22	-15	5	NULL
real	RR	124	4	15	   -4.00	0	    4.00	1	1	  428.23	-15	5	NULL
real	EL	125	4	-15	    4.00	1	   -4.00	1	1	  580.31	-3	7	NULL
real	PL	126	4	15	    4.00	1	   -4.00	1	1	970602.00	15	5	NULL
real	AR	127	4	-15	   -4.00	0	    4.00	1	1	  737.43	-15	7	NULL
real	OR	128	4	-15	   -4.00	1	   -8.00	0	0	980487.00	15	5	NULL
real	RL	129	4	15	    4.00	1	   -4.00	1	1	  781.72	-15	5	NULL
real	LL	130	4	15	  -12.00	0	    4.00	0	1	989304.00	15	0	NULL
real	KR	131	4	-15	   -4.00	0	    4.00	1	1	994295.00	15	0	NULL
real	DR	132	4	15	   -4.00	0	    4.00	1	1	998767.00	15	7	NULL
