TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	ER	1	1	-15	   20.00	1	   -8.00	0	0	 1192.04	-3	7	NULL
real	GR	2	1	15	   20.00	1	   -8.00	0	0	  961.15	-3	7	NULL
real	BL	3	1	15	  -20.00	0	    8.00	0	0	  746.66	-15	7	NULL
real	PR	4	1	15	   20.00	1	   -8.00	0	0	407860.00	15	5	NULL
real	MR	5	1	-15	   20.00	1	   -8.00	0	0	412526.00	-3	0	NULL
real	NR	6	1	15	   20.00	1	   -8.00	0	0	423171.00	-3	0	NULL
real	ML	7	1	-15	  -20.00	0	    8.00	0	0	427477.00	-3	0	NULL
real	IL	8	1	-15	  -20.00	0	    8.00	0	0	431961.00	-15	0	NULL
real	IR	9	1	-15	   20.00	1	   -8.00	0	0	437935.00	-15	0	NULL
real	JL	10	1	15	  -20.00	0	    8.00	0	0	442308.00	-15	0	NULL
real	AL	11	1	-15	  -20.00	0	    8.00	0	0	  577.30	-15	7	NULL
real	JR	12	1	15	   20.00	1	   -8.00	0	0	451919.00	-15	0	NULL
real	NL	13	1	15	  -20.00	0	    8.00	0	0	455952.00	-3	0	NULL
real	FR	14	1	-15	   20.00	1	   -8.00	0	0	  944.32	-3	5	NULL
real	QR	15	1	-15	   20.00	1	   -8.00	0	0	  735.21	-15	5	NULL
real	LR	16	1	15	   20.00	1	   -8.00	0	0	472451.00	15	0	NULL
real	OR	17	1	-15	   20.00	1	   -8.00	0	0	480356.00	15	5	NULL
real	KR	18	1	-15	   20.00	1	   -8.00	0	0	484386.00	15	0	NULL
real	AR	19	1	-15	   20.00	1	   -8.00	0	0	  955.75	-15	7	NULL
real	OL	20	1	-15	  -20.00	0	    8.00	0	0	500148.00	15	5	NULL
real	GL	21	1	15	  -20.00	0	    8.00	0	0	  695.22	-3	7	NULL
real	KL	22	1	-15	  -20.00	0	    8.00	0	0	511175.00	15	0	NULL
real	DR	23	1	15	   20.00	1	   -8.00	0	0	517183.00	15	7	NULL
real	CR	24	1	-15	   20.00	1	   -8.00	0	0	522262.00	15	7	NULL
real	LL	25	1	15	  -20.00	0	    8.00	0	0	526450.00	15	0	NULL
real	DL	26	1	15	  -20.00	0	    8.00	0	0	535335.00	15	7	NULL
real	RR	27	1	15	   20.00	1	   -8.00	0	0	  718.55	-15	5	NULL
real	HL	28	1	15	  -20.00	0	    8.00	0	0	  723.78	-3	5	NULL
real	RL	29	1	15	  -20.00	0	    8.00	0	0	  762.75	-15	5	NULL
real	BR	30	1	15	   20.00	1	   -8.00	0	0	  678.03	-15	7	NULL
real	CL	31	1	-15	  -20.00	0	    8.00	0	0	565544.00	15	7	NULL
real	FL	32	1	-15	  -20.00	0	    8.00	0	0	  662.45	-3	5	NULL
real	EL	33	1	-15	  -20.00	0	    8.00	0	0	  605.82	-3	7	NULL
real	PL	34	1	15	  -20.00	0	    8.00	0	0	581724.00	15	5	NULL
real	HR	35	1	15	   20.00	1	   -8.00	0	0	  576.26	-3	5	NULL
real	QL	36	1	-15	  -20.00	0	    8.00	0	0	  886.94	-15	5	NULL
real	NL	37	2	15	  -12.00	0	    8.00	0	0	600815.00	-3	0	NULL
real	FR	38	2	-15	   12.00	1	   -8.00	0	0	  883.81	-3	5	NULL
real	CL	39	2	-15	  -12.00	0	    8.00	0	0	616707.00	15	7	NULL
real	PL	40	2	15	  -12.00	0	    8.00	0	0	621882.00	15	5	NULL
real	JR	41	2	15	   12.00	1	   -8.00	0	0	631182.00	-15	0	NULL
real	BR	42	2	15	   12.00	1	   -8.00	0	0	 1029.57	-15	7	NULL
real	NR	43	2	15	   12.00	1	   -8.00	0	0	644032.00	-3	0	NULL
real	ER	44	2	-15	   12.00	1	   -8.00	0	0	  938.96	-3	7	NULL
real	KR	45	2	-15	   12.00	1	   -8.00	0	0	661028.00	15	0	NULL
real	QL	46	2	-15	  -12.00	0	    8.00	0	0	 1119.80	-15	5	NULL
real	RL	47	2	15	  -12.00	0	    8.00	0	0	 1095.84	-15	5	NULL
real	MR	48	2	-15	   12.00	1	   -8.00	0	0	680981.00	-3	0	NULL
real	IL	49	2	-15	  -12.00	0	    8.00	0	0	685009.00	-15	0	NULL
real	CR	50	2	-15	   12.00	1	   -8.00	0	0	690172.00	15	7	NULL
real	OR	51	2	-15	   12.00	1	   -8.00	0	0	698186.00	15	5	NULL
real	DL	52	2	15	  -12.00	0	    8.00	0	0	702246.00	15	7	NULL
real	RR	53	2	15	   12.00	1	   -8.00	0	0	  993.57	-15	5	NULL
real	PR	54	2	15	   12.00	1	   -8.00	0	0	717209.00	15	5	NULL
real	EL	55	2	-15	  -12.00	0	    8.00	0	0	  959.21	-3	7	NULL
real	GL	56	2	15	  -12.00	0	    8.00	0	0	 1041.73	-3	7	NULL
real	HL	57	2	15	  -12.00	0	    8.00	0	0	 1025.68	-3	5	NULL
real	LL	58	2	15	  -12.00	0	    8.00	0	0	740193.00	15	0	NULL
real	DR	59	2	15	   12.00	1	   -8.00	0	0	748674.00	15	7	NULL
real	IR	60	2	-15	   12.00	1	   -8.00	0	0	753665.00	-15	0	NULL
real	AR	61	2	-15	   12.00	1	   -8.00	0	0	  942.30	-15	7	NULL
real	KL	62	2	-15	  -12.00	0	    8.00	0	0	766774.00	15	0	NULL
real	BL	63	2	15	  -12.00	0	    8.00	0	0	  573.26	-15	7	NULL
real	LR	64	2	15	   12.00	1	   -8.00	0	0	783974.00	15	0	NULL
real	HR	65	2	15	   12.00	1	   -8.00	0	0	  877.13	-3	5	NULL
real	GR	66	2	15	   12.00	1	   -8.00	0	0	 1509.24	-3	7	NULL
real	FL	67	2	-15	  -12.00	0	    8.00	0	0	 1137.45	-3	5	NULL
real	QR	68	2	-15	   12.00	1	   -8.00	0	0	  723.05	-15	5	NULL
real	ML	69	2	-15	  -12.00	0	    8.00	0	0	820581.00	-3	0	NULL
real	AL	70	2	-15	  -12.00	0	    8.00	0	0	  985.01	-15	7	NULL
real	JL	71	2	15	  -12.00	0	    8.00	0	0	832708.00	-15	0	NULL
real	OL	72	2	-15	  -12.00	0	    8.00	0	0	837702.00	15	5	NULL
real	FL	73	3	-15	   -4.00	1	   -4.00	1	1	 1745.21	-3	5	NULL
real	FR	74	3	-15	    4.00	1	   -8.00	0	0	 1090.33	-3	5	NULL
real	AL	75	3	-15	   -4.00	0	    8.00	0	0	 1248.03	-15	7	NULL
real	NR	76	3	15	    4.00	1	   -8.00	0	0	874506.00	-3	0	NULL
real	LL	77	3	15	   -4.00	0	    8.00	0	0	879725.00	15	0	NULL
real	KR	78	3	-15	    4.00	1	   -8.00	0	0	886782.00	15	0	NULL
real	ER	79	3	-15	    4.00	1	   -8.00	0	0	  902.63	-3	7	NULL
real	QR	80	3	-15	    4.00	1	   -8.00	0	0	  736.99	-15	5	NULL
real	OL	81	3	-15	   -4.00	1	   -4.00	1	1	921789.00	15	5	NULL
real	PL	82	3	15	   -4.00	0	    8.00	0	0	926319.00	15	5	NULL
real	HR	83	3	15	    4.00	0	    4.00	1	1	 1064.52	-3	5	NULL
real	NL	84	3	15	   -4.00	0	    8.00	0	0	942198.00	-3	0	NULL
real	GL	85	3	15	   -4.00	0	    8.00	0	0	  965.90	-3	7	NULL
real	CR	86	3	-15	    4.00	1	   -8.00	0	0	959690.00	15	7	NULL
real	RL	87	3	15	   -4.00	0	    8.00	0	0	  758.88	-15	5	NULL
real	BR	88	3	15	    4.00	1	   -8.00	0	0	  863.04	-15	7	NULL
real	GR	89	3	15	    4.00	1	   -8.00	0	0	  956.58	-3	7	NULL
real	EL	90	3	-15	   -4.00	0	    8.00	0	0	 1463.31	-3	7	NULL
real	CL	91	3	-15	   -4.00	0	    8.00	0	0	1004032.00	15	7	NULL
real	HL	92	3	15	   -4.00	0	    8.00	0	0	  963.07	-3	5	NULL
real	LR	93	3	15	    4.00	1	   -8.00	0	0	1032576.00	15	0	NULL
real	JR	94	3	15	    4.00	1	   -8.00	0	0	1036797.00	-15	0	NULL
real	PR	95	3	15	    4.00	1	   -8.00	0	0	1043972.00	15	5	NULL
real	MR	96	3	-15	    4.00	1	   -8.00	0	0	1056480.00	-3	0	NULL
real	AR	97	3	-15	    4.00	1	   -8.00	0	0	  839.32	-15	7	NULL
real	RR	98	3	15	    4.00	1	   -8.00	0	0	  754.88	-15	5	NULL
real	ML	99	3	-15	   -4.00	0	    8.00	0	0	1079513.00	-3	0	NULL
real	KL	100	3	-15	   -4.00	0	    8.00	0	0	1090757.00	15	0	NULL
real	DR	101	3	15	    4.00	0	    4.00	1	1	1097560.00	15	7	NULL
real	QL	102	3	-15	   -4.00	0	    8.00	0	0	  856.32	-15	5	NULL
real	IL	103	3	-15	   -4.00	0	    8.00	0	0	1108825.00	-15	0	NULL
real	JL	104	3	15	   -4.00	0	    8.00	0	0	1114698.00	-15	0	NULL
real	IR	105	3	-15	    4.00	1	   -8.00	0	0	1118230.00	-15	0	NULL
real	DL	106	3	15	   -4.00	0	    8.00	0	0	1122906.00	15	7	NULL
real	BL	107	3	15	   -4.00	0	    8.00	0	0	  872.63	-15	7	NULL
real	OR	108	3	-15	    4.00	1	   -8.00	0	0	1134149.00	15	5	NULL
real	OL	109	4	-15	   -8.00	0	    2.00	1	2	1141904.00	15	5	NULL
real	ER	110	4	-15	   -4.00	0	    4.00	1	1	  807.59	-3	7	NULL
