TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	KL	1	1	-15	  -20.00	0	    8.00	0	0	1028009.00	15	0	NULL
real	QR	2	1	-15	   20.00	1	   -8.00	0	0	  534.88	-15	5	NULL
real	CL	3	1	-15	  -20.00	0	    8.00	0	0	1050436.00	15	7	NULL
real	DR	4	1	15	   20.00	1	   -8.00	0	0	1057689.00	15	7	NULL
real	NR	5	1	15	   20.00	1	   -8.00	0	0	1065529.00	-3	0	NULL
real	IL	6	1	-15	  -20.00	0	    8.00	0	0	1073887.00	-15	0	NULL
real	OL	7	1	-15	  -20.00	0	    8.00	0	0	1078357.00	15	5	NULL
real	FL	8	1	-15	  -20.00	0	    8.00	0	0	  519.94	-3	5	NULL
real	FR	9	1	-15	   20.00	0	    8.00	0	0	  287.31	-3	5	NULL
real	GL	10	1	15	  -20.00	0	    8.00	0	0	  388.91	-3	7	NULL
real	HL	11	1	15	  -20.00	0	    8.00	0	0	  486.38	-3	5	NULL
real	BR	12	1	15	   20.00	1	   -8.00	0	0	  368.68	-15	7	NULL
real	PL	13	1	15	  -20.00	0	    8.00	0	0	1116875.00	15	5	NULL
real	AR	14	1	-15	   20.00	1	   -8.00	0	0	  398.60	-15	7	NULL
real	MR	15	1	-15	   20.00	1	   -8.00	0	0	1127451.00	-3	0	NULL
real	JL	16	1	15	  -20.00	0	    8.00	0	0	1132097.00	-15	0	NULL
real	JR	17	1	15	   20.00	1	   -8.00	0	0	1136961.00	-15	0	NULL
real	ML	18	1	-15	  -20.00	0	    8.00	0	0	1142057.00	-3	0	NULL
real	GR	19	1	15	   20.00	1	   -8.00	0	0	  468.19	-3	7	NULL
real	RL	20	1	15	  -20.00	0	    8.00	0	0	 1459.73	-15	5	NULL
real	NL	21	1	15	  -20.00	0	    8.00	0	0	1155302.00	-3	0	NULL
real	HR	22	1	15	   20.00	1	   -8.00	0	0	  367.50	-3	5	NULL
real	ER	23	1	-15	   20.00	1	   -8.00	0	0	  486.45	-3	7	NULL
real	OR	24	1	-15	   20.00	1	   -8.00	0	0	1173647.00	15	5	NULL
real	EL	25	1	-15	  -20.00	0	    8.00	0	0	  345.28	-3	7	NULL
real	AL	26	1	-15	  -20.00	0	    8.00	0	0	  590.56	-15	7	NULL
real	LR	27	1	15	   20.00	1	   -8.00	0	0	1200557.00	15	0	NULL
real	QL	28	1	-15	  -20.00	0	    8.00	0	0	  536.15	-15	5	NULL
real	CR	29	1	-15	   20.00	1	   -8.00	0	0	1210600.00	15	7	NULL
real	IR	30	1	-15	   20.00	1	   -8.00	0	0	1214882.00	-15	0	NULL
real	LL	31	1	15	  -20.00	0	    8.00	0	0	1218804.00	15	0	NULL
real	PR	32	1	15	   20.00	1	   -8.00	0	0	1227038.00	15	5	NULL
real	BL	33	1	15	  -20.00	0	    8.00	0	0	 1553.77	-15	7	NULL
real	DL	34	1	15	  -20.00	0	    8.00	0	0	1238965.00	15	7	NULL
real	KR	35	1	-15	   20.00	1	   -8.00	0	0	1244093.00	15	0	NULL
real	RR	36	1	15	   20.00	1	   -8.00	0	0	  451.65	-15	5	NULL
real	BL	37	2	15	  -12.00	0	    8.00	0	0	  999.52	-15	7	NULL
real	KR	38	2	-15	   12.00	1	   -8.00	0	0	1259346.00	15	0	NULL
real	KL	39	2	-15	  -12.00	0	    8.00	0	0	1263128.00	15	0	NULL
real	LL	40	2	15	  -12.00	0	    8.00	0	0	1271004.00	15	0	NULL
real	IR	41	2	-15	   12.00	1	   -8.00	0	0	1274506.00	-15	0	NULL
real	QL	42	2	-15	  -12.00	0	    8.00	0	0	  390.84	-15	5	NULL
real	RR	43	2	15	   12.00	1	   -8.00	0	0	  365.03	-15	5	NULL
real	IL	44	2	-15	  -12.00	0	    8.00	0	0	1286542.00	-15	0	NULL
real	JR	45	2	15	   12.00	1	   -8.00	0	0	1290752.00	-15	0	NULL
real	JL	46	2	15	  -12.00	0	    8.00	0	0	1297870.00	-15	0	NULL
real	MR	47	2	-15	   12.00	1	   -8.00	0	0	1309251.00	-3	0	NULL
real	PL	48	2	15	  -12.00	0	    8.00	0	0	1313476.00	15	5	NULL
real	AR	49	2	-15	   12.00	1	   -8.00	0	0	  413.23	-15	7	NULL
real	ER	50	2	-15	   12.00	1	   -8.00	0	0	  442.25	-3	7	NULL
real	LR	51	2	15	   12.00	1	   -8.00	0	0	1327120.00	15	0	NULL
real	EL	52	2	-15	  -12.00	0	    8.00	0	0	  304.85	-3	7	NULL
real	CR	53	2	-15	   12.00	1	   -8.00	0	0	1339841.00	15	7	NULL
real	HL	54	2	15	  -12.00	0	    8.00	0	0	  417.08	-3	5	NULL
real	HR	55	2	15	   12.00	1	   -8.00	0	0	  273.11	-3	5	NULL
real	BR	56	2	15	   12.00	1	   -8.00	0	0	  389.62	-15	7	NULL
real	OR	57	2	-15	   12.00	1	   -8.00	0	0	1356217.00	15	5	NULL
real	PR	58	2	15	   12.00	1	   -8.00	0	0	1369085.00	15	5	NULL
real	ML	59	2	-15	  -12.00	0	    8.00	0	0	1372979.00	-3	0	NULL
real	GR	60	2	15	   12.00	1	   -8.00	0	0	  477.55	-3	7	NULL
real	OL	61	2	-15	  -12.00	1	   -4.00	1	1	1397836.00	15	5	NULL
real	CL	62	2	-15	  -12.00	0	    8.00	0	0	1401877.00	15	7	NULL
real	FR	63	2	-15	20	1	   -4.00	1	1	 3013.63	-3	5	NULL
real	AL	64	2	-15	  -12.00	0	    8.00	0	0	  445.71	-15	7	NULL
real	NR	65	2	15	   12.00	1	   -8.00	0	0	1417170.00	-3	0	NULL
real	NL	66	2	15	  -12.00	0	    8.00	0	0	1420722.00	-3	0	NULL
real	DL	67	2	15	  -12.00	1	   -4.00	1	1	1424582.00	15	7	NULL
real	QR	68	2	-15	   12.00	1	   -8.00	0	0	  511.31	-15	5	NULL
real	RL	69	2	15	  -12.00	0	    8.00	0	0	  898.62	-15	5	NULL
real	GL	70	2	15	  -12.00	0	    8.00	0	0	  485.96	-3	7	NULL
real	FL	71	2	-15	  -12.00	0	    8.00	0	0	  418.57	-3	5	NULL
real	DR	72	2	15	   12.00	1	   -8.00	0	0	1445519.00	15	7	NULL
real	QR	73	3	-15	    4.00	1	   -8.00	0	0	  614.82	-15	5	NULL
real	HL	74	3	15	   -4.00	0	    8.00	0	0	  384.48	-3	5	NULL
real	GL	75	3	15	   -4.00	0	    8.00	0	0	  437.71	-3	7	NULL
real	DR	76	3	15	    4.00	1	   -8.00	0	0	1466834.00	15	7	NULL
real	NR	77	3	15	    4.00	1	   -8.00	0	0	1471038.00	-3	0	NULL
real	QL	78	3	-15	   -4.00	0	    8.00	0	0	  509.78	-15	5	NULL
real	FL	79	3	-15	   -4.00	0	    8.00	0	0	  579.82	-3	5	NULL
real	PL	80	3	15	   -4.00	0	    8.00	0	0	1488957.00	15	5	NULL
real	BR	81	3	15	    4.00	1	   -8.00	0	0	  523.94	-15	7	NULL
real	KL	82	3	-15	   -4.00	0	    8.00	0	0	1508603.00	15	0	NULL
real	MR	83	3	-15	    4.00	1	   -8.00	0	0	1515647.00	-3	0	NULL
real	KR	84	3	-15	    4.00	1	   -8.00	0	0	1519779.00	15	0	NULL
real	ML	85	3	-15	   -4.00	0	    8.00	0	0	1524007.00	-3	0	NULL
real	NL	86	3	15	   -4.00	0	    8.00	0	0	1527880.00	-3	0	NULL
real	IR	87	3	-15	    4.00	1	   -8.00	0	0	1534746.00	-15	0	NULL
real	DL	88	3	15	  -16.00	0	    2.00	1	2	1538873.00	15	7	NULL
real	HR	89	3	15	    4.00	1	   -8.00	0	0	  305.54	-3	5	NULL
real	RL	90	3	15	   -4.00	1	   -4.00	1	1	  433.42	-15	5	NULL
real	OR	91	3	-15	    4.00	1	   -8.00	0	0	1553466.00	15	5	NULL
real	FR	92	3	-15	   16.00	1	   -4.00	0	1	  521.91	-3	5	NULL
real	RR	93	3	15	    4.00	1	   -8.00	0	0	  581.29	-15	5	NULL
real	AL	94	3	-15	   -4.00	0	    8.00	0	0	  408.26	-15	7	NULL
real	JR	95	3	15	    4.00	1	   -8.00	0	0	1573543.00	-15	0	NULL
real	EL	96	3	-15	   -4.00	0	    8.00	0	0	  392.08	-3	7	NULL
real	AR	97	3	-15	    4.00	1	   -8.00	0	0	  884.51	-15	7	NULL
real	ER	98	3	-15	    4.00	1	   -8.00	0	0	  382.51	-3	7	NULL
real	GR	99	3	15	    4.00	1	   -8.00	0	0	  429.32	-3	7	NULL
real	JL	100	3	15	   -4.00	0	    8.00	0	0	1601259.00	-15	0	NULL
real	LL	101	3	15	   -4.00	0	    8.00	0	0	1606436.00	15	0	NULL
real	OL	102	3	-15	  -16.00	0	    2.00	1	2	1613193.00	15	5	NULL
real	CL	103	3	-15	   -4.00	0	    8.00	0	0	1624690.00	15	7	NULL
real	BL	104	3	15	   -4.00	0	    8.00	0	0	  486.98	-15	7	NULL
real	IL	105	3	-15	   -4.00	0	    8.00	0	0	1637459.00	-15	0	NULL
