TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	QL	1	1	-15	  -20.00	0	    8.00	0	0	 1438.12	-15	5	NULL
real	IL	2	1	-15	  -20.00	0	    8.00	0	0	324809.00	-15	0	NULL
real	AR	3	1	-15	   20.00	1	   -8.00	0	0	  831.10	-15	7	NULL
real	CR	4	1	-15	   20.00	1	   -8.00	0	0	336618.00	15	7	NULL
real	NL	5	1	15	  -20.00	0	    8.00	0	0	345933.00	-3	0	NULL
real	HR	6	1	15	   20.00	1	   -8.00	0	0	  622.83	-3	5	NULL
real	AL	7	1	-15	  -20.00	0	    8.00	0	0	 1123.36	-15	7	NULL
real	NR	8	1	15	   20.00	1	   -8.00	0	0	401255.00	-3	0	NULL
real	BR	9	1	15	   20.00	1	   -8.00	0	0	  823.76	-15	7	NULL
real	RR	10	1	15	   20.00	1	   -8.00	0	0	  641.96	-15	5	NULL
real	QR	11	1	-15	   20.00	1	   -8.00	0	0	  693.36	-15	5	NULL
real	DR	12	1	15	   20.00	1	   -8.00	0	0	423228.00	15	7	NULL
real	JR	13	1	15	   20.00	1	   -8.00	0	0	429032.00	-15	0	NULL
real	OL	14	1	-15	  -20.00	0	    8.00	0	0	434693.00	15	5	NULL
real	FL	15	1	-15	  -20.00	0	    8.00	0	0	  621.71	-3	5	NULL
real	HL	16	1	15	  -20.00	0	    8.00	0	0	  604.83	-3	5	NULL
real	GL	17	1	15	  -20.00	0	    8.00	0	0	  644.40	-3	7	NULL
real	DL	18	1	15	  -20.00	0	    8.00	0	0	454847.00	15	7	NULL
real	MR	19	1	-15	   20.00	1	   -8.00	0	0	460602.00	-3	0	NULL
real	GR	20	1	15	   20.00	1	   -8.00	0	0	  659.99	-3	7	NULL
real	BL	21	1	15	  -20.00	0	    8.00	0	0	  676.21	-15	7	NULL
real	LR	22	1	15	   20.00	1	   -8.00	0	0	476978.00	15	0	NULL
real	PL	23	1	15	  -20.00	0	    8.00	0	0	482295.00	15	5	NULL
real	KL	24	1	-15	  -20.00	0	    8.00	0	0	487843.00	15	0	NULL
real	RL	25	1	15	  -20.00	0	    8.00	0	0	  704.99	-15	5	NULL
real	EL	26	1	-15	  -20.00	0	    8.00	0	0	  602.37	-3	7	NULL
real	LL	27	1	15	  -20.00	0	    8.00	0	0	506263.00	15	0	NULL
real	KR	28	1	-15	   20.00	1	   -8.00	0	0	511907.00	15	0	NULL
real	FR	29	1	-15	   20.00	1	   -8.00	0	0	  651.58	-3	5	NULL
real	ER	30	1	-15	   20.00	1	   -8.00	0	0	  638.78	-3	7	NULL
real	ML	31	1	-15	  -20.00	0	    8.00	0	0	527709.00	-3	0	NULL
real	PR	32	1	15	   20.00	1	   -8.00	0	0	533053.00	15	5	NULL
real	IR	33	1	-15	   20.00	1	   -8.00	0	0	537908.00	-15	0	NULL
real	JL	34	1	15	  -20.00	0	    8.00	0	0	544848.00	-15	0	NULL
real	CL	35	1	-15	  -20.00	0	    8.00	0	0	551217.00	15	7	NULL
real	OR	36	1	-15	   20.00	1	   -8.00	0	0	557195.00	15	5	NULL
real	QL	37	2	-15	  -12.00	0	    8.00	0	0	  641.77	-15	5	NULL
real	DR	38	2	15	   12.00	1	   -8.00	0	0	570145.00	15	7	NULL
real	EL	39	2	-15	  -12.00	0	    8.00	0	0	 1220.14	-3	7	NULL
real	MR	40	2	-15	   12.00	1	   -8.00	0	0	587178.00	-3	0	NULL
real	AL	41	2	-15	  -12.00	0	    8.00	0	0	  785.46	-15	7	NULL
real	LL	42	2	15	  -12.00	0	    8.00	0	0	597091.00	15	0	NULL
real	KR	43	2	-15	   12.00	1	   -8.00	0	0	602456.00	15	0	NULL
real	LR	44	2	15	   12.00	1	   -8.00	0	0	607504.00	15	0	NULL
real	ML	45	2	-15	  -12.00	0	    8.00	0	0	612067.00	-3	0	NULL
real	CR	46	2	-15	   12.00	1	   -8.00	0	0	622623.00	15	7	NULL
