Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
200218KN	2	False	real	CL	1	1	-15	  -20.00	0	    8.00	0	0	1902157.00	15	7	NULL
200218KN	3	False	real	FR	2	1	-15	   20.00	1	   -8.00	0	0	  637.77	-3	5	NULL
200218KN	4	False	real	GL	3	1	15	  -20.00	0	    8.00	0	0	  654.05	-3	7	NULL
200218KN	6	False	real	EL	4	1	-15	  -20.00	0	    8.00	0	0	  845.54	-3	7	NULL
200218KN	7	False	real	ER	5	1	-15	   20.00	1	   -8.00	0	0	  683.34	-3	7	NULL
200218KN	10	False	real	ML	6	1	-15	  -20.00	0	    8.00	0	0	1961384.00	-3	0	NULL
200218KN	11	False	real	FL	7	1	-15	  -20.00	0	    8.00	0	0	  586.77	-3	5	NULL
200218KN	13	False	real	CR	8	1	-15	   20.00	1	   -8.00	0	0	1975223.00	15	7	NULL
200218KN	14	False	real	LR	9	1	15	   20.00	1	   -8.00	0	0	1980345.00	15	0	NULL
200218KN	16	False	real	OL	10	1	-15	  -20.00	0	    8.00	0	0	1990486.00	15	5	NULL
200218KN	17	False	real	QL	11	1	-15	  -20.00	0	    8.00	0	0	  564.86	-15	5	NULL
200218KN	18	False	real	DR	12	1	15	   20.00	1	   -8.00	0	0	2000902.00	15	7	NULL
200218KN	19	False	real	IR	13	1	-15	   20.00	1	   -8.00	0	0	2006137.00	-15	0	NULL
200218KN	20	False	real	PL	14	1	15	  -20.00	0	    8.00	0	0	2010936.00	15	5	NULL
200218KN	21	False	real	BL	15	1	15	  -20.00	0	    8.00	0	0	  512.52	-15	7	NULL
200218KN	22	False	real	KR	16	1	-15	   20.00	1	   -8.00	0	0	2021755.00	15	0	NULL
200218KN	23	False	real	JL	17	1	15	  -20.00	0	    8.00	0	0	2026349.00	-15	0	NULL
200218KN	24	False	real	RR	18	1	15	   20.00	1	   -8.00	0	0	  474.62	-15	5	NULL
200218KN	25	False	real	AR	19	1	-15	   20.00	1	   -8.00	0	0	  537.60	-15	7	NULL
200218KN	26	False	real	BR	20	1	15	   20.00	1	   -8.00	0	0	  489.96	-15	7	NULL
200218KN	27	False	real	GR	21	1	15	   20.00	1	   -8.00	0	0	  491.98	-3	7	NULL
200218KN	28	False	real	AL	22	1	-15	  -20.00	0	    8.00	0	0	  605.95	-15	7	NULL
200218KN	29	False	real	RL	23	1	15	  -20.00	0	    8.00	0	0	  470.08	-15	5	NULL
200218KN	31	False	real	MR	24	1	-15	   20.00	1	   -8.00	0	0	2066078.00	-3	0	NULL
200218KN	32	False	real	JR	25	1	15	   20.00	1	   -8.00	0	0	2071468.00	-15	0	NULL
200218KN	33	False	real	LL	26	1	15	  -20.00	0	    8.00	0	0	2076513.00	15	0	NULL
200218KN	34	False	real	HR	27	1	15	   20.00	1	   -8.00	0	0	  496.76	-3	5	NULL
200218KN	35	False	real	NR	28	1	15	   20.00	1	   -8.00	0	0	2086132.00	-3	0	NULL
200218KN	36	False	real	HL	29	1	15	  -20.00	0	    8.00	0	0	  470.86	-3	5	NULL
200218KN	37	False	real	QR	30	1	-15	   20.00	1	   -8.00	0	0	  428.06	-15	5	NULL
200218KN	38	False	real	IL	31	1	-15	  -20.00	0	    8.00	0	0	2101264.00	-15	0	NULL
200218KN	39	False	real	PR	32	1	15	   20.00	1	   -8.00	0	0	2105998.00	15	5	NULL
200218KN	40	False	real	DL	33	1	15	  -20.00	0	    8.00	0	0	2113908.00	15	7	NULL
200218KN	41	False	real	OR	34	1	-15	   20.00	1	   -8.00	0	0	2118818.00	15	5	NULL
200218KN	42	False	real	KL	35	1	-15	  -20.00	0	    8.00	0	0	2123722.00	15	0	NULL
200218KN	43	False	real	NL	36	1	15	  -20.00	0	    8.00	0	0	2128383.00	-3	0	NULL
200218KN	44	False	real	CR	37	2	-15	   12.00	1	   -8.00	0	0	2133264.00	15	7	NULL
200218KN	45	False	real	MR	38	2	-15	   12.00	1	   -8.00	0	0	2138010.00	-3	0	NULL
200218KN	46	False	real	FR	39	2	-15	   12.00	1	   -8.00	0	0	  570.52	-3	5	NULL
200218KN	48	False	real	OR	40	2	-15	   12.00	1	   -8.00	0	0	2152896.00	15	5	NULL
200218KN	50	False	real	IR	41	2	-15	   12.00	1	   -8.00	0	0	2160732.00	-15	0	NULL
200218KN	51	False	real	BR	42	2	15	   12.00	1	   -8.00	0	0	  516.87	-15	7	NULL
200218KN	52	False	real	NL	43	2	15	  -12.00	0	    8.00	0	0	2171920.00	-3	0	NULL
200218KN	53	False	real	HL	44	2	15	  -12.00	0	    8.00	0	0	  442.03	-3	5	NULL
200218KN	54	False	real	NR	45	2	15	   12.00	1	   -8.00	0	0	2183121.00	-3	0	NULL
200218KN	55	False	real	JR	46	2	15	   12.00	1	   -8.00	0	0	2187539.00	-15	0	NULL
200218KN	58	False	real	CL	47	2	-15	  -12.00	0	    8.00	0	0	2202689.00	15	7	NULL
200218KN	59	False	real	HR	48	2	15	   12.00	1	   -8.00	0	0	  439.59	-3	5	NULL
200218KN	61	False	real	ML	49	2	-15	  -12.00	0	    8.00	0	0	2218669.00	-3	0	NULL
200218KN	62	False	real	GL	50	2	15	  -12.00	0	    8.00	0	0	  468.97	-3	7	NULL
200218KN	63	False	real	KL	51	2	-15	  -12.00	0	    8.00	0	0	2229790.00	15	0	NULL
200218KN	64	False	real	BL	52	2	15	  -12.00	0	    8.00	0	0	  458.83	-15	7	NULL
