Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
200303LH	1	False	real	ER	1	1	-15	   20.00	1	   -8.00	0	0	 2321.49	-3	7	NULL
200303LH	2	False	real	KR	2	1	-15	   20.00	1	   -8.00	0	0	1832211.00	15	0	NULL
200303LH	3	False	real	MR	3	1	-15	   20.00	1	   -8.00	0	0	1838683.00	-3	0	NULL
200303LH	4	False	real	FR	4	1	-15	   20.00	1	   -8.00	0	0	  450.21	-3	5	NULL
200303LH	5	False	real	AL	5	1	-15	  -20.00	0	    8.00	0	0	  678.19	-15	7	NULL
200303LH	6	False	real	PL	6	1	15	  -20.00	0	    8.00	0	0	1901680.00	15	5	NULL
200303LH	7	False	real	CR	7	1	-15	   20.00	1	   -8.00	0	0	1906566.00	15	7	NULL
200303LH	8	False	real	AR	8	1	-15	   20.00	1	   -8.00	0	0	  464.29	-15	7	NULL
200303LH	9	False	real	PR	9	1	15	   20.00	1	   -8.00	0	0	1917579.00	15	5	NULL
200303LH	11	False	real	ML	10	1	-15	  -20.00	0	    8.00	0	0	1926424.00	-3	0	NULL
200303LH	13	False	real	JL	11	1	15	  -20.00	0	    8.00	0	0	1934721.00	-15	0	NULL
200303LH	14	False	real	NL	12	1	15	  -20.00	0	    8.00	0	0	1940093.00	-3	0	NULL
200303LH	15	False	real	LL	13	1	15	  -20.00	0	    8.00	0	0	1945056.00	15	0	NULL
200303LH	17	False	real	OL	14	1	-15	  -20.00	0	    8.00	0	0	1955004.00	15	5	NULL
200303LH	21	False	real	OR	15	1	-15	   20.00	1	   -8.00	0	0	2021780.00	15	5	NULL
200303LH	22	False	real	RR	16	1	15	   20.00	1	   -8.00	0	0	  881.61	-15	5	NULL
200303LH	23	False	real	IL	17	1	-15	  -20.00	0	    8.00	0	0	2031453.00	-15	0	NULL
200303LH	24	False	real	RL	18	1	15	  -20.00	0	    8.00	0	0	  934.13	-15	5	NULL
200303LH	25	False	real	LR	19	1	15	   20.00	1	   -8.00	0	0	2040905.00	15	0	NULL
200303LH	26	False	real	HL	20	1	15	  -20.00	0	    8.00	0	0	  451.60	-3	5	NULL
200303LH	27	False	real	GR	21	1	15	   20.00	1	   -8.00	0	0	  393.86	-3	7	NULL
200303LH	28	False	real	CL	22	1	-15	  -20.00	0	    8.00	0	0	2054925.00	15	7	NULL
200303LH	29	False	real	QR	23	1	-15	   20.00	1	   -8.00	0	0	  427.04	-15	5	NULL
200303LH	31	False	real	JR	24	1	15	   20.00	1	   -8.00	0	0	2066799.00	-15	0	NULL
200303LH	32	False	real	QL	25	1	-15	  -20.00	0	    8.00	0	0	  480.69	-15	5	NULL
200303LH	33	False	real	DR	26	1	15	   20.00	1	   -8.00	0	0	2075791.00	15	7	NULL
200303LH	34	False	real	BL	27	1	15	  -20.00	0	    8.00	0	0	  406.43	-15	7	NULL
200303LH	35	False	real	BR	28	1	15	   20.00	1	   -8.00	0	0	  371.09	-15	7	NULL
200303LH	36	False	real	IR	29	1	-15	   20.00	1	   -8.00	0	0	2089812.00	-15	0	NULL
200303LH	37	False	real	KL	30	1	-15	  -20.00	0	    8.00	0	0	2094885.00	15	0	NULL
200303LH	39	False	real	FL	31	1	-15	  -20.00	0	    8.00	0	0	  388.66	-3	5	NULL
200303LH	41	False	real	HR	32	1	15	   20.00	1	   -8.00	0	0	  495.93	-3	5	NULL
200303LH	42	False	real	NR	33	1	15	   20.00	1	   -8.00	0	0	2118870.00	-3	0	NULL
200303LH	43	False	real	GL	34	1	15	  -20.00	0	    8.00	0	0	  444.85	-3	7	NULL
200303LH	44	False	real	EL	35	1	-15	  -20.00	0	    8.00	0	0	  443.26	-3	7	NULL
200303LH	46	False	real	DL	36	1	15	  -20.00	0	    8.00	0	0	2138358.00	15	7	NULL
200303LH	47	False	real	QL	37	2	-15	  -12.00	0	    8.00	0	0	  903.73	-15	5	NULL
200303LH	48	False	real	ML	38	2	-15	  -12.00	0	    8.00	0	0	2148452.00	-3	0	NULL
200303LH	49	False	real	GL	39	2	15	  -12.00	0	    8.00	0	0	  388.99	-3	7	NULL
200303LH	50	False	real	IR	40	2	-15	   12.00	1	   -8.00	0	0	2159982.00	-15	0	NULL
200303LH	51	False	real	AL	41	2	-15	  -12.00	0	    8.00	0	0	  386.20	-15	7	NULL
200303LH	52	False	real	DL	42	2	15	  -12.00	0	    8.00	0	0	2170085.00	15	7	NULL
200303LH	53	False	real	LR	43	2	15	   12.00	1	   -8.00	0	0	2175446.00	15	0	NULL
200303LH	54	False	real	JL	44	2	15	  -12.00	0	    8.00	0	0	2180098.00	-15	0	NULL
200303LH	55	False	real	AR	45	2	-15	   12.00	1	   -8.00	0	0	  485.42	-15	7	NULL
200303LH	56	False	real	MR	46	2	-15	   12.00	1	   -8.00	0	0	2189126.00	-3	0	NULL
200303LH	57	False	real	HR	47	2	15	   12.00	1	   -8.00	0	0	  436.38	-3	5	NULL
200303LH	58	False	real	OR	48	2	-15	   12.00	0	    4.00	1	1	2199754.00	15	5	NULL
200303LH	59	False	real	PL	49	2	15	  -12.00	0	    8.00	0	0	2205389.00	15	5	NULL
200303LH	61	False	real	QR	50	2	-15	   12.00	1	   -8.00	0	0	  437.58	-15	5	NULL
200303LH	63	False	real	RR	51	2	15	   12.00	1	   -8.00	0	0	  421.71	-15	5	NULL
200303LH	65	False	real	OL	52	2	-15	  -12.00	0	    8.00	0	0	2232827.00	15	5	NULL
200303LH	66	False	real	NR	53	2	15	   12.00	1	   -8.00	0	0	2237426.00	-3	0	NULL
200303LH	67	False	real	FL	54	2	-15	  -12.00	0	    8.00	0	0	  399.91	-3	5	NULL
200303LH	68	False	real	IL	55	2	-15	  -12.00	0	    8.00	0	0	2247816.00	-15	0	NULL
200303LH	69	False	real	FR	56	2	-15	   12.00	1	   -8.00	0	0	  510.42	-3	5	NULL
200303LH	71	False	real	EL	57	2	-15	  -12.00	0	    8.00	0	0	  491.70	-3	7	NULL
200303LH	72	False	real	KR	58	2	-15	   12.00	1	   -8.00	0	0	2266886.00	15	0	NULL
200303LH	73	False	real	KL	59	2	-15	  -12.00	0	    8.00	0	0	2271673.00	15	0	NULL
200303LH	74	False	real	BR	60	2	15	   12.00	1	   -8.00	0	0	  420.24	-15	7	NULL
200303LH	75	False	real	HL	61	2	15	  -12.00	0	    8.00	0	0	  418.53	-3	5	NULL
200303LH	76	False	real	PR	62	2	15	   12.00	1	   -8.00	0	0	2285117.00	15	5	NULL
200303LH	77	False	real	NL	63	2	15	  -12.00	0	    8.00	0	0	2289588.00	-3	0	NULL
200303LH	78	False	real	DR	64	2	15	   12.00	1	   -8.00	0	0	2295280.00	15	7	NULL
200303LH	79	False	real	LL	65	2	15	  -12.00	0	    8.00	0	0	2302500.00	15	0	NULL
200303LH	81	False	real	BL	66	2	15	  -12.00	0	    8.00	0	0	  367.69	-15	7	NULL
200303LH	82	False	real	RL	67	2	15	  -12.00	0	    8.00	0	0	  402.93	-15	5	NULL
200303LH	83	False	real	ER	68	2	-15	   12.00	1	   -8.00	0	0	  539.52	-3	7	NULL
200303LH	84	False	real	CL	69	2	-15	  -12.00	0	    8.00	0	0	2326543.00	15	7	NULL
200303LH	87	False	real	CR	70	2	-15	   12.00	1	   -8.00	0	0	2338978.00	15	7	NULL
200303LH	88	False	real	GR	71	2	15	   12.00	1	   -8.00	0	0	  385.61	-3	7	NULL
200303LH	89	False	real	JR	72	2	15	   12.00	1	   -8.00	0	0	2349007.00	-15	0	NULL
200303LH	90	False	real	ER	73	3	-15	    4.00	1	   -8.00	0	0	  485.07	-3	7	NULL
200303LH	91	False	real	AR	74	3	-15	    4.00	1	   -8.00	0	0	  574.55	-15	7	NULL
200303LH	92	False	real	BR	75	3	15	    4.00	1	   -8.00	0	0	  398.00	-15	7	NULL
200303LH	93	False	real	GR	76	3	15	    4.00	1	   -8.00	0	0	  300.50	-3	7	NULL
200303LH	94	False	real	CR	77	3	-15	    4.00	1	   -8.00	0	0	2372351.00	15	7	NULL
200303LH	95	False	real	FR	78	3	-15	    4.00	1	   -8.00	0	0	  491.80	-3	5	NULL
200303LH	96	False	real	PR	79	3	15	    4.00	1	   -8.00	0	0	2382516.00	15	5	NULL
200303LH	98	False	real	JR	80	3	15	    4.00	1	   -8.00	0	0	2392506.00	-15	0	NULL
200303LH	100	False	real	RR	81	3	15	    4.00	1	   -8.00	0	0	  873.74	-15	5	NULL
200303LH	102	False	real	JL	82	3	15	   -4.00	0	    8.00	0	0	2410355.00	-15	0	NULL
200303LH	104	False	real	QL	83	3	-15	   -4.00	0	    8.00	0	0	  429.70	-15	5	NULL
200303LH	105	False	real	RL	84	3	15	   -4.00	0	    8.00	0	0	  610.79	-15	5	NULL
200303LH	106	False	real	MR	85	3	-15	    4.00	1	   -8.00	0	0	2428284.00	-3	0	NULL
200303LH	107	False	real	HL	86	3	15	   -4.00	0	    8.00	0	0	  388.13	-3	5	NULL
200303LH	109	False	real	BL	87	3	15	   -4.00	0	    8.00	0	0	  392.25	-15	7	NULL
200303LH	110	False	real	NL	88	3	15	   -4.00	0	    8.00	0	0	2448072.00	-3	0	NULL
