TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	NL	1	1	15	  -20.00	0	    8.00	0	0	233750.00	-3	0	NULL
real	DL	2	1	15	  -20.00	0	    8.00	0	0	238686.00	15	7	NULL
real	IL	3	1	-15	  -20.00	0	    8.00	0	0	243537.00	-15	0	NULL
real	QL	4	1	-15	  -20.00	0	    8.00	0	0	  504.48	-15	5	NULL
real	JR	5	1	15	   20.00	1	   -8.00	0	0	251523.00	-15	0	NULL
real	AR	6	1	-15	   20.00	1	   -8.00	0	0	  932.02	-15	7	NULL
real	KR	7	1	-15	   20.00	1	   -8.00	0	0	371366.00	15	0	NULL
real	IR	8	1	-15	   20.00	1	   -8.00	0	0	377407.00	-15	0	NULL
real	KL	9	1	-15	  -20.00	0	    8.00	0	0	381814.00	15	0	NULL
real	CL	10	1	-15	  -20.00	0	    8.00	0	0	388240.00	15	7	NULL
real	GR	11	1	15	   20.00	1	   -8.00	0	0	  740.82	-3	7	NULL
real	MR	12	1	-15	   20.00	1	   -8.00	0	0	398195.00	-3	0	NULL
real	LR	13	1	15	   20.00	1	   -8.00	0	0	402195.00	15	0	NULL
real	PR	14	1	15	   20.00	1	   -8.00	0	0	407813.00	15	5	NULL
real	OL	15	1	-15	  -20.00	0	    8.00	0	0	412178.00	15	5	NULL
real	JL	16	1	15	  -20.00	0	    8.00	0	0	416860.00	-15	0	NULL
real	ML	17	1	-15	  -20.00	0	    8.00	0	0	429636.00	-3	0	NULL
real	DR	18	1	15	   20.00	1	   -8.00	0	0	434011.00	15	7	NULL
real	NR	19	1	15	   20.00	1	   -8.00	0	0	437822.00	-3	0	NULL
real	EL	20	1	-15	  -20.00	0	    8.00	0	0	  531.44	-3	7	NULL
real	GL	21	1	15	  -20.00	0	    8.00	0	0	  615.36	-3	7	NULL
real	OR	22	1	-15	   20.00	1	   -8.00	0	0	469538.00	15	5	NULL
real	RL	23	1	15	  -20.00	0	    8.00	0	0	  668.48	-15	5	NULL
real	HR	24	1	15	   20.00	1	   -8.00	0	0	  630.19	-3	5	NULL
real	QR	25	1	-15	   20.00	1	   -8.00	0	0	 2162.40	-15	5	NULL
real	BL	26	1	15	  -20.00	0	    8.00	0	0	  661.04	-15	7	NULL
real	FR	27	1	-15	   20.00	1	   -8.00	0	0	  507.00	-3	5	NULL
real	FL	28	1	-15	  -20.00	0	    8.00	0	0	  540.94	-3	5	NULL
real	ER	29	1	-15	   20.00	1	   -8.00	0	0	  590.17	-3	7	NULL
real	LL	30	1	15	  -20.00	0	    8.00	0	0	560220.00	15	0	NULL
real	BR	31	1	15	   20.00	1	   -8.00	0	0	  407.22	-15	7	NULL
real	AL	32	1	-15	  -20.00	0	    8.00	0	0	  567.49	-15	7	NULL
real	HL	33	1	15	  -20.00	0	    8.00	0	0	  488.05	-3	5	NULL
real	PL	34	1	15	  -20.00	0	    8.00	0	0	579407.00	15	5	NULL
real	CR	35	1	-15	   20.00	1	   -8.00	0	0	583214.00	15	7	NULL
real	RR	36	1	15	   20.00	1	   -8.00	0	0	  526.50	-15	5	NULL
