TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	BR	1	1	15	   20.00	0	    8.00	0	0	17355.40	-15	7	NULL
real	CR	2	1	-15	   20.00	0	    8.00	0	0	484010.00	15	7	NULL
real	CL	3	1	-15	  -20.00	0	    8.00	0	0	505783.00	15	7	NULL
real	IR	4	1	-15	   20.00	1	   -8.00	0	0	513350.00	-15	0	NULL
real	PR	5	1	15	   20.00	1	   -8.00	0	0	518210.00	15	5	NULL
real	ML	6	1	-15	  -20.00	0	    8.00	0	0	582284.00	-3	0	NULL
real	DR	7	1	15	   20.00	1	   -8.00	0	0	587394.00	15	7	NULL
real	EL	8	1	-15	  -20.00	0	    8.00	0	0	  429.20	-3	7	NULL
real	LR	9	1	15	   20.00	1	   -8.00	0	0	598199.00	15	0	NULL
real	GR	10	1	15	   20.00	1	   -8.00	0	0	  563.71	-3	7	NULL
real	JR	11	1	15	   20.00	1	   -8.00	0	0	606668.00	-15	0	NULL
real	ER	12	1	-15	   20.00	1	   -8.00	0	0	  439.64	-3	7	NULL
real	FL	13	1	-15	  -20.00	0	    8.00	0	0	  528.02	-3	5	NULL
real	OR	14	1	-15	   20.00	1	   -8.00	0	0	622602.00	15	5	NULL
real	OL	15	1	-15	  -20.00	0	    8.00	0	0	627157.00	15	5	NULL
real	LL	16	1	15	  -20.00	0	    8.00	0	0	631637.00	15	0	NULL
real	IL	17	1	-15	  -20.00	0	    8.00	0	0	639710.00	-15	0	NULL
real	DL	18	1	15	  -20.00	0	    8.00	0	0	644181.00	15	7	NULL
real	AR	19	1	-15	   20.00	1	   -8.00	0	0	  505.52	-15	7	NULL
real	KL	20	1	-15	  -20.00	0	    8.00	0	0	653422.00	15	0	NULL
real	NL	21	1	15	  -20.00	0	    8.00	0	0	658616.00	-3	0	NULL
real	GL	22	1	15	  -20.00	0	    8.00	0	0	  544.65	-3	7	NULL
real	RL	23	1	15	  -20.00	0	    8.00	0	0	  489.93	-15	5	NULL
real	KR	24	1	-15	   20.00	1	   -8.00	0	0	673008.00	15	0	NULL
real	HL	25	1	15	  -20.00	0	    8.00	0	0	  434.27	-3	5	NULL
real	NR	26	1	15	   20.00	1	   -8.00	0	0	684630.00	-3	0	NULL
real	PL	27	1	15	  -20.00	0	    8.00	0	0	689434.00	15	5	NULL
real	BL	28	1	15	  -20.00	0	    8.00	0	0	  377.81	-15	7	NULL
real	MR	29	1	-15	   20.00	1	   -8.00	0	0	699372.00	-3	0	NULL
real	QR	30	1	-15	   20.00	1	   -8.00	0	0	  544.99	-15	5	NULL
real	FR	31	1	-15	   20.00	1	   -8.00	0	0	  536.64	-3	5	NULL
real	AL	32	1	-15	  -20.00	0	    8.00	0	0	  466.62	-15	7	NULL
real	RR	33	1	15	   20.00	1	   -8.00	0	0	  547.92	-15	5	NULL
real	JL	34	1	15	  -20.00	0	    8.00	0	0	726855.00	-15	0	NULL
real	HR	35	1	15	   20.00	1	   -8.00	0	0	  450.20	-3	5	NULL
real	QL	36	1	-15	  -20.00	0	    8.00	0	0	  450.07	-15	5	NULL
