TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	NL	1	1	15	  -20.00	0	    8.00	0	0	588258.00	-3	0	NULL
real	ML	2	1	-15	  -20.00	0	    8.00	0	0	596031.00	-3	0	NULL
real	KL	3	1	-15	  -20.00	0	    8.00	0	0	602424.00	15	0	NULL
real	RL	4	1	15	  -20.00	0	    8.00	0	0	 1066.63	-15	5	NULL
real	AL	5	1	-15	  -20.00	0	    8.00	0	0	  885.65	-15	7	NULL
real	BL	6	1	15	  -20.00	0	    8.00	0	0	  808.19	-15	7	NULL
real	HL	7	1	15	  -20.00	0	    8.00	0	0	  975.76	-3	5	NULL
real	ER	8	1	-15	   20.00	1	   -8.00	0	0	  883.99	-3	7	NULL
real	GR	9	1	15	   20.00	1	   -8.00	0	0	  769.54	-3	7	NULL
real	PL	10	1	15	  -20.00	0	    8.00	0	0	634248.00	15	5	NULL
real	DL	11	1	15	  -20.00	0	    8.00	0	0	638276.00	15	7	NULL
real	JR	12	1	15	   20.00	1	   -8.00	0	0	643567.00	-15	0	NULL
real	NR	13	1	15	   20.00	1	   -8.00	0	0	653825.00	-3	0	NULL
real	EL	14	1	-15	  -20.00	0	    8.00	0	0	  639.84	-3	7	NULL
real	DR	15	1	15	   20.00	1	   -8.00	0	0	661622.00	15	7	NULL
real	PR	16	1	15	   20.00	1	   -8.00	0	0	665405.00	15	5	NULL
real	OL	17	1	-15	  -20.00	0	    8.00	0	0	673982.00	15	5	NULL
real	KR	18	1	-15	   20.00	1	   -8.00	0	0	680117.00	15	0	NULL
real	CR	19	1	-15	   20.00	1	   -8.00	0	0	684179.00	15	7	NULL
real	GL	20	1	15	  -20.00	0	    8.00	0	0	  566.83	-3	7	NULL
real	CL	21	1	-15	  -20.00	0	    8.00	0	0	692088.00	15	7	NULL
real	HR	22	1	15	   20.00	1	   -8.00	0	0	  678.47	-3	5	NULL
real	JL	23	1	15	  -20.00	0	    8.00	0	0	700018.00	-15	0	NULL
real	BR	24	1	15	   20.00	1	   -8.00	0	0	  813.63	-15	7	NULL
real	LR	25	1	15	   20.00	1	   -8.00	0	0	707985.00	15	0	NULL
real	OR	26	1	-15	   20.00	1	   -8.00	0	0	711923.00	15	5	NULL
real	LL	27	1	15	  -20.00	0	    8.00	0	0	719906.00	15	0	NULL
real	FL	28	1	-15	  -20.00	0	    8.00	0	0	  896.96	-3	5	NULL
real	QR	29	1	-15	   20.00	1	   -8.00	0	0	  526.80	-15	5	NULL
real	IL	30	1	-15	  -20.00	0	    8.00	0	0	732874.00	-15	0	NULL
real	AR	31	1	-15	   20.00	1	   -8.00	0	0	  464.31	-15	7	NULL
real	IR	32	1	-15	   20.00	1	   -8.00	0	0	739822.00	-15	0	NULL
real	RR	33	1	15	   20.00	1	   -8.00	0	0	  517.78	-15	5	NULL
real	QL	34	1	-15	  -20.00	0	    8.00	0	0	  674.01	-15	5	NULL
real	FR	35	1	-15	   20.00	1	   -8.00	0	0	  461.47	-3	5	NULL
real	MR	36	1	-15	   20.00	1	   -8.00	0	0	758907.00	-3	0	NULL
real	CR	37	2	-15	   12.00	1	   -8.00	0	0	763325.00	15	7	NULL
real	QR	38	2	-15	   12.00	1	   -8.00	0	0	  712.99	-15	5	NULL
real	CL	39	2	-15	  -12.00	0	    8.00	0	0	771631.00	15	7	NULL
real	AL	40	2	-15	  -12.00	0	    8.00	0	0	  814.64	-15	7	NULL
real	JR	41	2	15	   12.00	1	   -8.00	0	0	779757.00	-15	0	NULL
real	RL	42	2	15	  -12.00	0	    8.00	0	0	  382.56	-15	5	NULL
real	NL	43	2	15	  -12.00	0	    8.00	0	0	786945.00	-3	0	NULL
real	IL	44	2	-15	  -12.00	0	    8.00	0	0	790391.00	-15	0	NULL
real	KR	45	2	-15	   12.00	1	   -8.00	0	0	794522.00	15	0	NULL
real	DR	46	2	15	   12.00	1	   -8.00	0	0	801932.00	15	7	NULL
real	QL	47	2	-15	  -12.00	0	    8.00	0	0	  455.29	-15	5	NULL
real	BL	48	2	15	  -12.00	0	    8.00	0	0	  755.71	-15	7	NULL
real	MR	49	2	-15	   12.00	1	   -8.00	0	0	812943.00	-3	0	NULL
real	LL	50	2	15	  -12.00	0	    8.00	0	0	816690.00	15	0	NULL
real	GL	51	2	15	  -12.00	0	    8.00	0	0	  375.38	-3	7	NULL
real	EL	52	2	-15	  -12.00	0	    8.00	0	0	  422.96	-3	7	NULL
real	DL	53	2	15	  -12.00	0	    8.00	0	0	827507.00	15	7	NULL
real	HL	54	2	15	  -12.00	0	    8.00	0	0	  619.57	-3	5	NULL
real	IR	55	2	-15	   12.00	1	   -8.00	0	0	835421.00	-15	0	NULL
real	LR	56	2	15	   12.00	1	   -8.00	0	0	843102.00	15	0	NULL
real	OL	57	2	-15	  -12.00	0	    8.00	0	0	846956.00	15	5	NULL
real	KL	58	2	-15	  -12.00	0	    8.00	0	0	860910.00	15	0	NULL
real	FL	59	2	-15	  -12.00	0	    8.00	0	0	  702.02	-3	5	NULL
real	PL	60	2	15	  -12.00	0	    8.00	0	0	869471.00	15	5	NULL
real	HR	61	2	15	   12.00	1	   -8.00	0	0	  552.73	-3	5	NULL
real	ER	62	2	-15	   12.00	1	   -8.00	0	0	  539.37	-3	7	NULL
real	ML	63	2	-15	  -12.00	0	    8.00	0	0	889777.00	-3	0	NULL
real	JL	64	2	15	  -12.00	0	    8.00	0	0	904616.00	-15	0	NULL
real	GR	65	2	15	   12.00	1	   -8.00	0	0	  604.54	-3	7	NULL
