TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	KR	1	1	-15	   20.00	1	   -8.00	0	0	304205.00	15	0	NULL
real	BR	2	1	15	   20.00	1	   -8.00	0	0	  821.41	-15	7	NULL
real	OL	3	1	-15	  -20.00	0	    8.00	0	0	313253.00	15	5	NULL
real	HR	4	1	15	   20.00	1	   -8.00	0	0	  605.99	-3	5	NULL
real	LR	5	1	15	   20.00	1	   -8.00	0	0	329639.00	15	0	NULL
real	KL	6	1	-15	  -20.00	0	    8.00	0	0	334697.00	15	0	NULL
real	ML	7	1	-15	  -20.00	0	    8.00	0	0	338977.00	-3	0	NULL
real	EL	8	1	-15	  -20.00	0	    8.00	0	0	 1069.05	-3	7	NULL
real	LL	9	1	15	  -20.00	0	    8.00	0	0	349067.00	15	0	NULL
real	FR	10	1	-15	   20.00	1	   -8.00	0	0	  651.88	-3	5	NULL
real	JL	11	1	15	  -20.00	0	    8.00	0	0	360693.00	-15	0	NULL
real	MR	12	1	-15	   20.00	1	   -8.00	0	0	364788.00	-3	0	NULL
real	FL	13	1	-15	  -20.00	0	    8.00	0	0	  516.73	-3	5	NULL
real	QL	14	1	-15	  -20.00	0	    8.00	0	0	  600.09	-15	5	NULL
real	BL	15	1	15	  -20.00	0	    8.00	0	0	  650.76	-15	7	NULL
real	HL	16	1	15	  -20.00	0	    8.00	0	0	  783.06	-3	5	NULL
real	GL	17	1	15	  -20.00	0	    8.00	0	0	  943.25	-3	7	NULL
real	CL	18	1	-15	  -20.00	0	    8.00	0	0	397278.00	15	7	NULL
real	OR	19	1	-15	   20.00	1	   -8.00	0	0	402595.00	15	5	NULL
real	AR	20	1	-15	   20.00	1	   -8.00	0	0	  970.96	-15	7	NULL
real	IR	21	1	-15	   20.00	1	   -8.00	0	0	413841.00	-15	0	NULL
real	AL	22	1	-15	  -20.00	0	    8.00	0	0	 1192.02	-15	7	NULL
real	RL	23	1	15	  -20.00	0	    8.00	0	0	  800.86	-15	5	NULL
real	NR	24	1	15	   20.00	1	   -8.00	0	0	428466.00	-3	0	NULL
real	IL	25	1	-15	  -20.00	0	    8.00	0	0	433883.00	-15	0	NULL
real	CR	26	1	-15	   20.00	1	   -8.00	0	0	438637.00	15	7	NULL
real	PR	27	1	15	   20.00	1	   -8.00	0	0	443994.00	15	5	NULL
real	ER	28	1	-15	   20.00	1	   -8.00	0	0	  672.98	-3	7	NULL
real	NL	29	1	15	  -20.00	0	    8.00	0	0	453535.00	-3	0	NULL
real	JR	30	1	15	   20.00	1	   -8.00	0	0	458797.00	-15	0	NULL
real	QR	31	1	-15	   20.00	1	   -8.00	0	0	  940.56	-15	5	NULL
real	DL	32	1	15	  -20.00	0	    8.00	0	0	467643.00	15	7	NULL
real	RR	33	1	15	   20.00	1	   -8.00	0	0	  626.23	-15	5	NULL
real	PL	34	1	15	  -20.00	0	    8.00	0	0	476315.00	15	5	NULL
real	DR	35	1	15	   20.00	1	   -8.00	0	0	481941.00	15	7	NULL
real	GR	36	1	15	   20.00	1	   -8.00	0	0	  575.58	-3	7	NULL
real	ML	37	2	-15	  -12.00	0	    8.00	0	0	490752.00	-3	0	NULL
real	GR	38	2	15	   12.00	1	   -8.00	0	0	  596.88	-3	7	NULL
real	KR	39	2	-15	   12.00	1	   -8.00	0	0	500290.00	15	0	NULL
real	GL	40	2	15	  -12.00	0	    8.00	0	0	  634.73	-3	7	NULL
real	JL	41	2	15	  -12.00	0	    8.00	0	0	510481.00	-15	0	NULL
real	AR	42	2	-15	   12.00	1	   -8.00	0	0	  672.34	-15	7	NULL
real	PL	43	2	15	  -12.00	0	    8.00	0	0	525921.00	15	5	NULL
real	DR	44	2	15	   12.00	1	   -8.00	0	0	533332.00	15	7	NULL
real	FL	45	2	-15	  -12.00	0	    8.00	0	0	  610.20	-3	5	NULL
real	HL	46	2	15	  -12.00	0	    8.00	0	0	  541.92	-3	5	NULL
