TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	NL	1	1	15	  -20.00	1	   -8.00	0	0	525149.00	-3	0	NULL
real	ER	2	1	-15	   20.00	1	   -8.00	0	0	17849.67	-3	7	NULL
real	LL	3	1	15	  -20.00	0	    8.00	0	0	559806.00	15	0	NULL
real	CL	4	1	-15	  -20.00	0	    8.00	0	0	584906.00	15	7	NULL
real	OR	5	1	-15	   20.00	1	   -8.00	0	0	590959.00	15	5	NULL
real	RL	6	1	15	  -20.00	0	    8.00	0	0	 1185.44	-15	5	NULL
real	NR	7	1	15	   20.00	1	   -8.00	0	0	600883.00	-3	0	NULL
real	DR	8	1	15	   20.00	1	   -8.00	0	0	606018.00	15	7	NULL
real	HR	9	1	15	   20.00	1	   -8.00	0	0	  793.65	-3	5	NULL
real	KL	10	1	-15	  -20.00	0	    8.00	0	0	615466.00	15	0	NULL
real	GR	11	1	15	   20.00	1	   -8.00	0	0	 1124.75	-3	7	NULL
real	QL	12	1	-15	  -20.00	0	    8.00	0	0	  654.50	-15	5	NULL
real	QR	13	1	-15	   20.00	1	   -8.00	0	0	  912.02	-15	5	NULL
real	HL	14	1	15	  -20.00	0	    8.00	0	0	  771.62	-3	5	NULL
real	PL	15	1	15	  -20.00	0	    8.00	0	0	639245.00	15	5	NULL
real	FL	16	1	-15	  -20.00	0	    8.00	0	0	  586.78	-3	5	NULL
real	RR	17	1	15	   20.00	1	   -8.00	0	0	  647.47	-15	5	NULL
real	IL	18	1	-15	  -20.00	0	    8.00	0	0	651893.00	-15	0	NULL
real	ML	19	1	-15	  -20.00	0	    8.00	0	0	655886.00	-3	0	NULL
real	PR	20	1	15	   20.00	1	   -8.00	0	0	660190.00	15	5	NULL
real	AR	21	1	-15	   20.00	1	   -8.00	0	0	  700.47	-15	7	NULL
real	CR	22	1	-15	   20.00	1	   -8.00	0	0	673041.00	15	7	NULL
real	MR	23	1	-15	   20.00	1	   -8.00	0	0	678148.00	-3	0	NULL
real	KR	24	1	-15	   20.00	1	   -8.00	0	0	685738.00	15	0	NULL
real	BL	25	1	15	  -20.00	0	    8.00	0	0	  965.47	-15	7	NULL
real	EL	26	1	-15	  -20.00	0	    8.00	0	0	  731.01	-3	7	NULL
real	JR	27	1	15	   20.00	1	   -8.00	0	0	701681.00	-15	0	NULL
real	FR	28	1	-15	   20.00	1	   -8.00	0	0	  459.72	-3	5	NULL
real	IR	29	1	-15	   20.00	1	   -8.00	0	0	712221.00	-15	0	NULL
real	LR	30	1	15	   20.00	1	   -8.00	0	0	717883.00	15	0	NULL
real	JL	31	1	15	  -20.00	0	    8.00	0	0	722063.00	-15	0	NULL
real	BR	32	1	15	   20.00	1	   -8.00	0	0	  787.93	-15	7	NULL
real	AL	33	1	-15	  -20.00	0	    8.00	0	0	  577.04	-15	7	NULL
real	OL	34	1	-15	  -20.00	0	    8.00	0	0	735992.00	15	5	NULL
real	GL	35	1	15	  -20.00	0	    8.00	0	0	  941.48	-3	7	NULL
real	DL	36	1	15	  -20.00	0	    8.00	0	0	745694.00	15	7	NULL
real	QL	37	2	-15	  -12.00	0	    8.00	0	0	  770.12	-15	5	NULL
real	ER	38	2	-15	   12.00	1	   -8.00	0	0	  613.92	-3	7	NULL
real	GR	39	2	15	   12.00	1	   -8.00	0	0	  744.34	-3	7	NULL
real	MR	40	2	-15	   12.00	1	   -8.00	0	0	762163.00	-3	0	NULL
real	HR	41	2	15	   12.00	1	   -8.00	0	0	  747.02	-3	5	NULL
real	EL	42	2	-15	  -12.00	0	    8.00	0	0	  485.25	-3	7	NULL
real	FL	43	2	-15	  -12.00	0	    8.00	0	0	  582.35	-3	5	NULL
real	QR	44	2	-15	   12.00	1	   -8.00	0	0	  684.63	-15	5	NULL
real	GL	45	2	15	  -12.00	0	    8.00	0	0	  567.04	-3	7	NULL
real	LR	46	2	15	   12.00	1	   -8.00	0	0	790684.00	15	0	NULL
real	RL	47	2	15	  -12.00	0	    8.00	0	0	  718.83	-15	5	NULL
real	LL	48	2	15	  -12.00	0	    8.00	0	0	803678.00	15	0	NULL
real	RR	49	2	15	   12.00	1	   -8.00	0	0	  899.06	-15	5	NULL
real	JL	50	2	15	  -12.00	0	    8.00	0	0	813434.00	-15	0	NULL
real	NL	51	2	15	-20	0	    4.00	1	1	817631.00	-3	0	NULL
