TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	FR	1	1	-15	   20.00	1	   -8.00	0	0	10508.39	-3	5	NULL
real	OR	2	1	-15	   20.00	1	   -8.00	0	0	462126.00	15	5	NULL
real	IL	3	1	-15	  -20.00	0	    8.00	0	0	468634.00	-15	0	NULL
real	CR	4	1	-15	   20.00	1	   -8.00	0	0	478554.00	15	7	NULL
real	PL	5	1	15	  -20.00	0	    8.00	0	0	484605.00	15	5	NULL
real	IR	6	1	-15	   20.00	1	   -8.00	0	0	491146.00	-15	0	NULL
real	JL	7	1	15	  -20.00	0	    8.00	0	0	495135.00	-15	0	NULL
real	EL	8	1	-15	  -20.00	0	    8.00	0	0	  691.43	-3	7	NULL
real	RL	9	1	15	  -20.00	0	    8.00	0	0	  626.68	-15	5	NULL
real	AL	10	1	-15	  -20.00	0	    8.00	0	0	  693.71	-15	7	NULL
real	KR	11	1	-15	   20.00	1	   -8.00	0	0	514951.00	15	0	NULL
real	RR	12	1	15	   20.00	1	   -8.00	0	0	  695.10	-15	5	NULL
real	QR	13	1	-15	   20.00	1	   -8.00	0	0	 1093.31	-15	5	NULL
real	AR	14	1	-15	   20.00	1	   -8.00	0	0	  942.72	-15	7	NULL
real	BR	15	1	15	   20.00	1	   -8.00	0	0	 1605.77	-15	7	NULL
real	GR	16	1	15	   20.00	1	   -8.00	0	0	  548.80	-3	7	NULL
real	NL	17	1	15	  -20.00	0	    8.00	0	0	546194.00	-3	0	NULL
real	DR	18	1	15	   20.00	1	   -8.00	0	0	552308.00	15	7	NULL
real	QL	19	1	-15	  -20.00	0	    8.00	0	0	  557.37	-15	5	NULL
real	ER	20	1	-15	   20.00	1	   -8.00	0	0	  518.16	-3	7	NULL
real	LR	21	1	15	   20.00	1	   -8.00	0	0	564288.00	15	0	NULL
real	JR	22	1	15	   20.00	1	   -8.00	0	0	568195.00	-15	0	NULL
real	FL	23	1	-15	  -20.00	0	    8.00	0	0	  570.10	-3	5	NULL
real	BL	24	1	15	  -20.00	0	    8.00	0	0	  701.59	-15	7	NULL
real	KL	25	1	-15	  -20.00	0	    8.00	0	0	581670.00	15	0	NULL
real	PR	26	1	15	   20.00	1	   -8.00	0	0	585952.00	15	5	NULL
real	LL	27	1	15	  -20.00	0	    8.00	0	0	590239.00	15	0	NULL
real	GL	28	1	15	  -20.00	0	    8.00	0	0	  549.60	-3	7	NULL
real	ML	29	1	-15	  -20.00	0	    8.00	0	0	600528.00	-3	0	NULL
real	CL	30	1	-15	  -20.00	0	    8.00	0	0	606499.00	15	7	NULL
real	DL	31	1	15	  -20.00	0	    8.00	0	0	611059.00	15	7	NULL
