TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	OL	1	1	-15	  -20.00	0	    8.00	0	0	288531.00	15	5	NULL
real	KL	2	1	-15	  -20.00	0	    8.00	0	0	298015.00	15	0	NULL
real	PR	3	1	15	   20.00	1	   -8.00	0	0	303609.00	15	5	NULL
real	IL	4	1	-15	  -20.00	0	    8.00	0	0	307886.00	-15	0	NULL
real	ER	5	1	-15	   20.00	1	   -8.00	0	0	  554.47	-3	7	NULL
real	GR	6	1	15	   20.00	1	   -8.00	0	0	  484.42	-3	7	NULL
real	IR	7	1	-15	   20.00	1	   -8.00	0	0	348607.00	-15	0	NULL
real	RR	8	1	15	   20.00	1	   -8.00	0	0	  620.36	-15	5	NULL
real	NL	9	1	15	  -20.00	0	    8.00	0	0	387463.00	-3	0	NULL
real	KR	10	1	-15	   20.00	1	   -8.00	0	0	410064.00	15	0	NULL
real	AR	11	1	-15	   20.00	1	   -8.00	0	0	  638.38	-15	7	NULL
real	NR	12	1	15	   20.00	1	   -8.00	0	0	591965.00	-3	0	NULL
real	DR	13	1	15	   20.00	1	   -8.00	0	0	596542.00	15	7	NULL
real	OR	14	1	-15	   20.00	1	   -8.00	0	0	601447.00	15	5	NULL
real	LR	15	1	15	   20.00	1	   -8.00	0	0	606065.00	15	0	NULL
real	RL	16	1	15	  -20.00	0	    8.00	0	0	  411.00	-15	5	NULL
real	FR	17	1	-15	   20.00	1	   -8.00	0	0	  471.21	-3	5	NULL
real	HL	18	1	15	  -20.00	0	    8.00	0	0	  629.57	-3	5	NULL
real	QR	19	1	-15	   20.00	1	   -8.00	0	0	  940.33	-15	5	NULL
real	CR	20	1	-15	   20.00	1	   -8.00	0	0	636583.00	15	7	NULL
real	QL	21	1	-15	  -20.00	0	    8.00	0	0	  540.67	-15	5	NULL
real	ML	22	1	-15	  -20.00	0	    8.00	0	0	645472.00	-3	0	NULL
real	CL	23	1	-15	  -20.00	0	    8.00	0	0	656190.00	15	7	NULL
real	BR	24	1	15	   20.00	1	   -8.00	0	0	  552.36	-15	7	NULL
real	JR	25	1	15	   20.00	1	   -8.00	0	0	666694.00	-15	0	NULL
real	AL	26	1	-15	  -20.00	0	    8.00	0	0	  402.97	-15	7	NULL
real	JL	27	1	15	  -20.00	0	    8.00	0	0	678596.00	-15	0	NULL
real	BL	28	1	15	  -20.00	0	    8.00	0	0	  615.36	-15	7	NULL
real	DL	29	1	15	  -20.00	0	    8.00	0	0	706908.00	15	7	NULL
real	PL	30	1	15	  -20.00	0	    8.00	0	0	711174.00	15	5	NULL
real	GL	31	1	15	  -20.00	0	    8.00	0	0	  481.76	-3	7	NULL
real	HR	32	1	15	   20.00	1	   -8.00	0	0	  357.89	-3	5	NULL
real	EL	33	1	-15	  -20.00	0	    8.00	0	0	  586.91	-3	7	NULL
real	LL	34	1	15	  -20.00	0	    8.00	0	0	780566.00	15	0	NULL
real	FL	35	1	-15	  -20.00	0	    8.00	0	0	  467.15	-3	5	NULL
