TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	RR	1	1	15	   20.00	1	   -8.00	0	0	 2230.98	-15	5	NULL
real	AR	2	1	-15	   20.00	1	   -8.00	0	0	  942.00	-15	7	NULL
real	HR	3	1	15	   20.00	1	   -8.00	0	0	  684.69	-3	5	NULL
real	CL	4	1	-15	  -20.00	0	    8.00	0	0	407985.00	15	7	NULL
real	PL	5	1	15	  -20.00	0	    8.00	0	0	413276.00	15	5	NULL
real	MR	6	1	-15	   20.00	1	   -8.00	0	0	417261.00	-3	0	NULL
real	CR	7	1	-15	   20.00	1	   -8.00	0	0	425517.00	15	7	NULL
real	AL	8	1	-15	  -20.00	0	    8.00	0	0	  608.84	-15	7	NULL
real	JL	9	1	15	  -20.00	0	    8.00	0	0	436320.00	-15	0	NULL
real	NL	10	1	15	  -20.00	0	    8.00	0	0	440154.00	-3	0	NULL
real	FL	11	1	-15	  -20.00	0	    8.00	0	0	  433.18	-3	5	NULL
real	DL	12	1	15	  -20.00	0	    8.00	0	0	448059.00	15	7	NULL
real	QR	13	1	-15	   20.00	1	   -8.00	0	0	  616.05	-15	5	NULL
real	BL	14	1	15	  -20.00	0	    8.00	0	0	  490.19	-15	7	NULL
real	LR	15	1	15	   20.00	1	   -8.00	0	0	459560.00	15	0	NULL
real	OL	16	1	-15	  -20.00	0	    8.00	0	0	464644.00	15	5	NULL
real	HL	17	1	15	  -20.00	0	    8.00	0	0	  962.23	-3	5	NULL
real	KR	18	1	-15	   20.00	1	   -8.00	0	0	478309.00	15	0	NULL
real	GR	19	1	15	   20.00	1	   -8.00	0	0	  535.16	-3	7	NULL
real	BR	20	1	15	   20.00	1	   -8.00	0	0	  653.07	-15	7	NULL
real	ER	21	1	-15	   20.00	1	   -8.00	0	0	  655.57	-3	7	NULL
real	NR	22	1	15	   20.00	1	   -8.00	0	0	498231.00	-3	0	NULL
real	QL	23	1	-15	  -20.00	0	    8.00	0	0	  672.22	-15	5	NULL
real	EL	24	1	-15	  -20.00	0	    8.00	0	0	  501.78	-3	7	NULL
real	JR	25	1	15	   20.00	1	   -8.00	0	0	510422.00	-15	0	NULL
real	PR	26	1	15	   20.00	1	   -8.00	0	0	514726.00	15	5	NULL
real	KL	27	1	-15	  -20.00	0	    8.00	0	0	519148.00	15	0	NULL
real	FR	28	1	-15	   20.00	1	   -8.00	0	0	  533.53	-3	5	NULL
real	IR	29	1	-15	   20.00	1	   -8.00	0	0	526897.00	-15	0	NULL
real	LL	30	1	15	  -20.00	0	    8.00	0	0	531044.00	15	0	NULL
real	DR	31	1	15	   20.00	1	   -8.00	0	0	535160.00	15	7	NULL
real	IL	32	1	-15	  -20.00	0	    8.00	0	0	539404.00	-15	0	NULL
real	ML	33	1	-15	  -20.00	0	    8.00	0	0	543208.00	-3	0	NULL
real	RL	34	1	15	  -20.00	0	    8.00	0	0	  533.56	-15	5	NULL
real	GL	35	1	15	  -20.00	0	    8.00	0	0	  639.87	-3	7	NULL
real	OR	36	1	-15	   20.00	1	   -8.00	0	0	565171.00	15	5	NULL
real	JR	37	2	15	   12.00	1	   -8.00	0	0	572478.00	-15	0	NULL
real	QR	38	2	-15	   12.00	1	   -8.00	0	0	  670.35	-15	5	NULL
real	OR	39	2	-15	   12.00	1	   -8.00	0	0	581500.00	15	5	NULL
real	DL	40	2	15	  -12.00	0	    8.00	0	0	586071.00	15	7	NULL
real	QL	41	2	-15	  -12.00	0	    8.00	0	0	  578.49	-15	5	NULL
real	PL	42	2	15	  -12.00	0	    8.00	0	0	597188.00	15	5	NULL
real	OL	43	2	-15	  -12.00	0	    8.00	0	0	603035.00	15	5	NULL
real	CR	44	2	-15	   12.00	1	   -8.00	0	0	607346.00	15	7	NULL
real	BL	45	2	15	  -12.00	0	    8.00	0	0	  621.01	-15	7	NULL
real	MR	46	2	-15	   12.00	1	   -8.00	0	0	616613.00	-3	0	NULL
real	IR	47	2	-15	   12.00	1	   -8.00	0	0	624845.00	-15	0	NULL
real	NR	48	2	15	   12.00	1	   -8.00	0	0	629329.00	-3	0	NULL
real	RL	49	2	15	  -12.00	0	    8.00	0	0	  441.65	-15	5	NULL
real	GL	50	2	15	  -12.00	0	    8.00	0	0	  505.19	-3	7	NULL
real	KR	51	2	-15	   12.00	1	   -8.00	0	0	648643.00	15	0	NULL
real	PR	52	2	15	   12.00	1	   -8.00	0	0	675310.00	15	5	NULL
real	AR	53	2	-15	   12.00	1	   -8.00	0	0	  665.77	-15	7	NULL
real	RR	54	2	15	   12.00	1	   -8.00	0	0	  539.65	-15	5	NULL
real	HL	55	2	15	  -12.00	0	    8.00	0	0	  482.64	-3	5	NULL
real	JL	56	2	15	  -12.00	0	    8.00	0	0	691879.00	-15	0	NULL
real	EL	57	2	-15	  -12.00	0	    8.00	0	0	  533.17	-3	7	NULL
real	NL	58	2	15	  -12.00	0	    8.00	0	0	701764.00	-3	0	NULL
real	GR	59	2	15	   12.00	1	   -8.00	0	0	  508.84	-3	7	NULL
real	ML	60	2	-15	  -12.00	0	    8.00	0	0	710132.00	-3	0	NULL
real	DR	61	2	15	   12.00	1	   -8.00	0	0	716464.00	15	7	NULL
real	IL	62	2	-15	  -12.00	0	    8.00	0	0	720845.00	-15	0	NULL
real	CL	63	2	-15	  -12.00	0	    8.00	0	0	725099.00	15	7	NULL
real	KL	64	2	-15	  -12.00	0	    8.00	0	0	729397.00	15	0	NULL
real	FL	65	2	-15	  -12.00	0	    8.00	0	0	  592.10	-3	5	NULL
real	HR	66	2	15	   12.00	1	   -8.00	0	0	  655.58	-3	5	NULL
real	FR	67	2	-15	   12.00	1	   -8.00	0	0	  565.43	-3	5	NULL
real	AL	68	2	-15	  -12.00	0	    8.00	0	0	  682.22	-15	7	NULL
real	ER	69	2	-15	   12.00	1	   -8.00	0	0	  586.66	-3	7	NULL
real	LR	70	2	15	   12.00	1	   -8.00	0	0	756728.00	15	0	NULL
real	BR	71	2	15	   12.00	1	   -8.00	0	0	 1043.57	-15	7	NULL
real	LL	72	2	15	  -12.00	0	    8.00	0	0	766167.00	15	0	NULL
real	GL	73	3	15	   -4.00	0	    8.00	0	0	  567.07	-3	7	NULL
real	QR	74	3	-15	    4.00	1	   -8.00	0	0	  721.84	-15	5	NULL
real	JL	75	3	15	   -4.00	0	    8.00	0	0	778063.00	-15	0	NULL
real	CR	76	3	-15	    4.00	1	   -8.00	0	0	781944.00	15	7	NULL
real	BL	77	3	15	   -4.00	0	    8.00	0	0	  610.77	-15	7	NULL
real	CL	78	3	-15	   -4.00	0	    8.00	0	0	789815.00	15	7	NULL
real	LL	79	3	15	   -4.00	0	    8.00	0	0	794409.00	15	0	NULL
real	DR	80	3	15	    4.00	1	   -8.00	0	0	798588.00	15	7	NULL
real	HR	81	3	15	    4.00	1	   -8.00	0	0	  551.58	-3	5	NULL
real	OR	82	3	-15	    4.00	1	   -8.00	0	0	806695.00	15	5	NULL
