TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	HR	1	1	15	   20.00	1	   -8.00	0	0	 8673.39	-3	5	NULL
real	IL	2	1	-15	  -20.00	0	    8.00	0	0	576171.00	-15	0	NULL
real	ML	3	1	-15	  -20.00	0	    8.00	0	0	618097.00	-3	0	NULL
real	NL	4	1	15	  -20.00	0	    8.00	0	0	622948.00	-3	0	NULL
real	BL	5	1	15	  -20.00	0	    8.00	0	0	  674.01	-15	7	NULL
real	CL	6	1	-15	  -20.00	0	    8.00	0	0	636647.00	15	7	NULL
real	PR	7	1	15	   20.00	1	   -8.00	0	0	642397.00	15	5	NULL
real	GR	8	1	15	   20.00	1	   -8.00	0	0	  615.96	-3	7	NULL
real	RR	9	1	15	   20.00	1	   -8.00	0	0	  585.01	-15	5	NULL
real	KR	10	1	-15	   20.00	1	   -8.00	0	0	669919.00	15	0	NULL
real	LL	11	1	15	  -20.00	0	    8.00	0	0	674874.00	15	0	NULL
real	QL	12	1	-15	  -20.00	0	    8.00	0	0	 1042.13	-15	5	NULL
real	QR	13	1	-15	   20.00	1	   -8.00	0	0	  466.57	-15	5	NULL
real	EL	14	1	-15	  -20.00	0	    8.00	0	0	  399.30	-3	7	NULL
real	PL	15	1	15	  -20.00	0	    8.00	0	0	700596.00	15	5	NULL
real	RL	16	1	15	  -20.00	0	    8.00	0	0	  685.24	-15	5	NULL
real	CR	17	1	-15	   20.00	1	   -8.00	0	0	711255.00	15	7	NULL
real	ER	18	1	-15	   20.00	1	   -8.00	0	0	  451.50	-3	7	NULL
real	JR	19	1	15	   20.00	1	   -8.00	0	0	722594.00	-15	0	NULL
real	JL	20	1	15	  -20.00	0	    8.00	0	0	734159.00	-15	0	NULL
real	DL	21	1	15	  -20.00	0	    8.00	0	0	738502.00	15	7	NULL
real	MR	22	1	-15	   20.00	1	   -8.00	0	0	743547.00	-3	0	NULL
real	OR	23	1	-15	   20.00	1	   -8.00	0	0	748313.00	15	5	NULL
real	BR	24	1	15	   20.00	1	   -8.00	0	0	  416.75	-15	7	NULL
real	LR	25	1	15	   20.00	1	   -8.00	0	0	756242.00	15	0	NULL
real	AR	26	1	-15	   20.00	1	   -8.00	0	0	 1822.87	-15	7	NULL
real	GL	27	1	15	  -20.00	0	    8.00	0	0	  464.90	-3	7	NULL
real	HL	28	1	15	  -20.00	0	    8.00	0	0	  365.81	-3	5	NULL
real	AL	29	1	-15	  -20.00	0	    8.00	0	0	  827.53	-15	7	NULL
real	IR	30	1	-15	   20.00	1	   -8.00	0	0	803263.00	-15	0	NULL
