TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	QR	1	1	-15	   20.00	1	   -8.00	0	0	 2460.18	-15	5	NULL
real	PR	2	1	15	   20.00	1	   -8.00	0	0	296742.00	15	5	NULL
real	DL	3	1	15	  -20.00	0	    8.00	0	0	301450.00	15	7	NULL
real	HL	4	1	15	  -20.00	0	    8.00	0	0	  635.07	-3	5	NULL
real	EL	5	1	-15	  -20.00	0	    8.00	0	0	  544.91	-3	7	NULL
real	GL	6	1	15	  -20.00	0	    8.00	0	0	  542.40	-3	7	NULL
real	LL	7	1	15	  -20.00	0	    8.00	0	0	331490.00	15	0	NULL
real	IL	8	1	-15	  -20.00	0	    8.00	0	0	336718.00	-15	0	NULL
real	NL	9	1	15	  -20.00	0	    8.00	0	0	342417.00	-3	0	NULL
real	AL	10	1	-15	  -20.00	0	    8.00	0	0	  556.10	-15	7	NULL
real	JR	11	1	15	   20.00	1	   -8.00	0	0	351873.00	-15	0	NULL
real	RL	12	1	15	  -20.00	0	    8.00	0	0	  729.59	-15	5	NULL
real	QL	13	1	-15	  -20.00	0	    8.00	0	0	  461.54	-15	5	NULL
real	JL	14	1	15	  -20.00	0	    8.00	0	0	369636.00	-15	0	NULL
real	BR	15	1	15	   20.00	1	   -8.00	0	0	  994.82	-15	7	NULL
real	PL	16	1	15	  -20.00	0	    8.00	0	0	378737.00	15	5	NULL
real	FL	17	1	-15	  -20.00	0	    8.00	0	0	  532.17	-3	5	NULL
real	CR	18	1	-15	   20.00	1	   -8.00	0	0	386859.00	15	7	NULL
real	KL	19	1	-15	  -20.00	0	    8.00	0	0	392019.00	15	0	NULL
real	AR	20	1	-15	   20.00	1	   -8.00	0	0	  462.94	-15	7	NULL
real	KR	21	1	-15	   20.00	1	   -8.00	0	0	400985.00	15	0	NULL
real	HR	22	1	15	   20.00	1	   -8.00	0	0	  458.01	-3	5	NULL
real	ER	23	1	-15	   20.00	1	   -8.00	0	0	  551.65	-3	7	NULL
real	NR	24	1	15	   20.00	1	   -8.00	0	0	416817.00	-3	0	NULL
real	FR	25	1	-15	   20.00	1	   -8.00	0	0	  513.63	-3	5	NULL
real	DR	26	1	15	   20.00	1	   -8.00	0	0	427691.00	15	7	NULL
real	OL	27	1	-15	  -20.00	0	    8.00	0	0	432441.00	15	5	NULL
real	OR	28	1	-15	   20.00	1	   -8.00	0	0	436305.00	15	5	NULL
real	MR	29	1	-15	   20.00	1	   -8.00	0	0	442096.00	-3	0	NULL
real	CL	30	1	-15	  -20.00	0	    8.00	0	0	446530.00	15	7	NULL
real	IR	31	1	-15	   20.00	1	   -8.00	0	0	450497.00	-15	0	NULL
real	GR	32	1	15	   20.00	1	   -8.00	0	0	  702.66	-3	7	NULL
real	LR	33	1	15	   20.00	1	   -8.00	0	0	460057.00	15	0	NULL
real	RR	34	1	15	   20.00	1	   -8.00	0	0	  556.75	-15	5	NULL
real	BL	35	1	15	  -20.00	0	    8.00	0	0	  521.51	-15	7	NULL
real	ML	36	1	-15	  -20.00	0	    8.00	0	0	476232.00	-3	0	NULL
real	LR	37	2	15	   12.00	1	   -8.00	0	0	481313.00	15	0	NULL
real	QL	38	2	-15	  -12.00	0	    8.00	0	0	  644.86	-15	5	NULL
real	RL	39	2	15	  -12.00	0	    8.00	0	0	  481.79	-15	5	NULL
real	GR	40	2	15	   12.00	1	   -8.00	0	0	  596.08	-3	7	NULL
real	NR	41	2	15	   12.00	1	   -8.00	0	0	498699.00	-3	0	NULL
real	KL	42	2	-15	  -12.00	0	    8.00	0	0	503154.00	15	0	NULL
real	OL	43	2	-15	  -12.00	0	    8.00	0	0	508058.00	15	5	NULL
real	BR	44	2	15	   12.00	1	   -8.00	0	0	  649.82	-15	7	NULL
real	LL	45	2	15	  -12.00	0	    8.00	0	0	518946.00	15	0	NULL
real	QR	46	2	-15	   12.00	1	   -8.00	0	0	  823.84	-15	5	NULL
real	KR	47	2	-15	   12.00	1	   -8.00	0	0	528298.00	15	0	NULL
real	ER	48	2	-15	   12.00	1	   -8.00	0	0	  764.58	-3	7	NULL
real	PL	49	2	15	  -12.00	0	    8.00	0	0	537531.00	15	5	NULL
real	FR	50	2	-15	   12.00	1	   -8.00	0	0	  743.95	-3	5	NULL
real	CR	51	2	-15	   12.00	1	   -8.00	0	0	553230.00	15	7	NULL
real	FL	52	2	-15	  -12.00	0	    8.00	0	0	  575.96	-3	5	NULL
