TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	QR	1	1	-15	   20.00	1	   -8.00	0	0	 1064.20	-15	5	NULL
real	GL	2	1	15	  -20.00	0	    8.00	0	0	  480.23	-3	7	NULL
real	ER	3	1	-15	   20.00	1	   -8.00	0	0	  331.31	-3	7	NULL
real	IR	4	1	-15	   20.00	1	   -8.00	0	0	240616.00	-15	0	NULL
real	GR	5	1	15	   20.00	1	   -8.00	0	0	  461.30	-3	7	NULL
real	NL	6	1	15	  -20.00	0	    8.00	0	0	260212.00	-3	0	NULL
real	AR	7	1	-15	   20.00	1	   -8.00	0	0	  628.79	-15	7	NULL
real	RR	8	1	15	   20.00	1	   -8.00	0	0	  553.89	-15	5	NULL
real	JR	9	1	15	   20.00	1	   -8.00	0	0	273899.00	-15	0	NULL
real	PR	10	1	15	   20.00	1	   -8.00	0	0	278821.00	15	5	NULL
real	ML	11	1	-15	  -20.00	0	    8.00	0	0	284500.00	-3	0	NULL
real	OL	12	1	-15	  -20.00	0	    8.00	0	0	291420.00	15	5	NULL
real	PL	13	1	15	  -20.00	0	    8.00	0	0	295709.00	15	5	NULL
real	CR	14	1	-15	   20.00	1	   -8.00	0	0	301044.00	15	7	NULL
real	AL	15	1	-15	  -20.00	0	    8.00	0	0	  768.10	-15	7	NULL
real	KL	16	1	-15	  -20.00	0	    8.00	0	0	311789.00	15	0	NULL
real	IL	17	1	-15	  -20.00	0	    8.00	0	0	317502.00	-15	0	NULL
real	BL	18	1	15	  -20.00	0	    8.00	0	0	  828.77	-15	7	NULL
real	DL	19	1	15	  -20.00	0	    8.00	0	0	326339.00	15	7	NULL
real	CL	20	1	-15	  -20.00	0	    8.00	0	0	332438.00	15	7	NULL
real	KR	21	1	-15	   20.00	1	   -8.00	0	0	338225.00	15	0	NULL
real	MR	22	1	-15	   20.00	1	   -8.00	0	0	343101.00	-3	0	NULL
real	HL	23	1	15	  -20.00	0	    8.00	0	0	  568.65	-3	5	NULL
real	LR	24	1	15	   20.00	1	   -8.00	0	0	353617.00	15	0	NULL
real	BR	25	1	15	   20.00	1	   -8.00	0	0	  737.76	-15	7	NULL
real	FL	26	1	-15	  -20.00	0	    8.00	0	0	  698.40	-3	5	NULL
real	RL	27	1	15	  -20.00	0	    8.00	0	0	  693.09	-15	5	NULL
real	DR	28	1	15	   20.00	1	   -8.00	0	0	377541.00	15	7	NULL
real	QL	29	1	-15	  -20.00	0	    8.00	0	0	  528.81	-15	5	NULL
real	FR	30	1	-15	   20.00	1	   -8.00	0	0	  734.51	-3	5	NULL
real	LL	31	1	15	  -20.00	0	    8.00	0	0	394558.00	15	0	NULL
real	EL	32	1	-15	  -20.00	0	    8.00	0	0	  793.85	-3	7	NULL
real	OR	33	1	-15	   20.00	1	   -8.00	0	0	404440.00	15	5	NULL
real	HR	34	1	15	   20.00	1	   -8.00	0	0	  555.53	-3	5	NULL
real	NR	35	1	15	   20.00	1	   -8.00	0	0	415413.00	-3	0	NULL
real	JL	36	1	15	  -20.00	0	    8.00	0	0	421597.00	-15	0	NULL
real	DR	37	2	15	   12.00	1	   -8.00	0	0	426548.00	15	7	NULL
real	QL	38	2	-15	  -12.00	0	    8.00	0	0	  635.34	-15	5	NULL
real	DL	39	2	15	  -12.00	0	    8.00	0	0	435144.00	15	7	NULL
real	FL	40	2	-15	  -12.00	0	    8.00	0	0	  605.58	-3	5	NULL
real	PL	41	2	15	  -12.00	0	    8.00	0	0	446483.00	15	5	NULL
real	EL	42	2	-15	  -12.00	0	    8.00	0	0	  618.21	-3	7	NULL
real	CR	43	2	-15	   12.00	1	   -8.00	0	0	459827.00	15	7	NULL
real	ER	44	2	-15	   12.00	1	   -8.00	0	0	  481.01	-3	7	NULL
real	OL	45	2	-15	  -12.00	0	    8.00	0	0	472041.00	15	5	NULL
real	LR	46	2	15	   12.00	1	   -8.00	0	0	475984.00	15	0	NULL
real	GL	47	2	15	  -12.00	0	    8.00	0	0	  468.24	-3	7	NULL
real	HL	48	2	15	  -12.00	0	    8.00	0	0	  434.21	-3	5	NULL
real	QR	49	2	-15	   12.00	1	   -8.00	0	0	  690.08	-15	5	NULL
real	IL	50	2	-15	  -12.00	0	    8.00	0	0	498707.00	-15	0	NULL
real	JL	51	2	15	  -12.00	0	    8.00	0	0	505002.00	-15	0	NULL
real	OR	52	2	-15	   12.00	1	   -8.00	0	0	510067.00	15	5	NULL
real	RL	53	2	15	  -12.00	0	    8.00	0	0	  465.24	-15	5	NULL
real	AR	54	2	-15	   12.00	1	   -8.00	0	0	  457.33	-15	7	NULL
real	KL	55	2	-15	  -12.00	0	    8.00	0	0	524323.00	15	0	NULL
real	BR	56	2	15	   12.00	1	   -8.00	0	0	  474.48	-15	7	NULL
real	IR	57	2	-15	   12.00	1	   -8.00	0	0	536112.00	-15	0	NULL
real	AL	58	2	-15	  -12.00	0	    8.00	0	0	  993.17	-15	7	NULL
real	CL	59	2	-15	  -12.00	0	    8.00	0	0	591512.00	15	7	NULL
real	NL	60	2	15	  -12.00	0	    8.00	0	0	596122.00	-3	0	NULL
real	LL	61	2	15	  -12.00	0	    8.00	0	0	600789.00	15	0	NULL
real	HR	62	2	15	   12.00	1	   -8.00	0	0	  525.24	-3	5	NULL
real	RR	63	2	15	   12.00	1	   -8.00	0	0	  513.65	-15	5	NULL
real	KR	64	2	-15	   12.00	1	   -8.00	0	0	618296.00	15	0	NULL
real	GR	65	2	15	   12.00	1	   -8.00	0	0	  512.47	-3	7	NULL
real	JR	66	2	15	   12.00	1	   -8.00	0	0	630445.00	-15	0	NULL
real	MR	67	2	-15	   12.00	1	   -8.00	0	0	635957.00	-3	0	NULL
real	PR	68	2	15	   12.00	1	   -8.00	0	0	640945.00	15	5	NULL
real	FR	69	2	-15	   12.00	1	   -8.00	0	0	  466.77	-3	5	NULL
real	ML	70	2	-15	  -12.00	0	    8.00	0	0	649374.00	-3	0	NULL
real	BL	71	2	15	  -12.00	0	    8.00	0	0	  827.15	-15	7	NULL
real	NR	72	2	15	   12.00	1	   -8.00	0	0	661622.00	-3	0	NULL
real	PL	73	3	15	   -4.00	0	    8.00	0	0	669707.00	15	5	NULL
real	CR	74	3	-15	    4.00	1	   -8.00	0	0	674638.00	15	7	NULL
real	BR	75	3	15	    4.00	1	   -8.00	0	0	  461.37	-15	7	NULL
real	FR	76	3	-15	    4.00	1	   -8.00	0	0	  471.70	-3	5	NULL
real	LL	77	3	15	   -4.00	0	    8.00	0	0	691910.00	15	0	NULL
real	JR	78	3	15	    4.00	1	   -8.00	0	0	697782.00	-15	0	NULL
real	KR	79	3	-15	    4.00	1	   -8.00	0	0	707072.00	15	0	NULL
real	PR	80	3	15	    4.00	1	   -8.00	0	0	711554.00	15	5	NULL
real	NR	81	3	15	    4.00	1	   -8.00	0	0	716201.00	-3	0	NULL
real	EL	82	3	-15	   -4.00	0	    8.00	0	0	 1034.19	-3	7	NULL
