TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	QL	1	1	-15	  -20.00	0	    8.00	0	0	 3661.86	-15	5	NULL
real	NL	2	1	15	  -20.00	0	    8.00	0	0	374648.00	-3	0	NULL
real	KR	3	1	-15	   20.00	1	   -8.00	0	0	381559.00	15	0	NULL
real	CR	4	1	-15	   20.00	1	   -8.00	0	0	387172.00	15	7	NULL
real	PL	5	1	15	  -20.00	0	    8.00	0	0	391774.00	15	5	NULL
real	GR	6	1	15	   20.00	1	   -8.00	0	0	  510.91	-3	7	NULL
real	OL	7	1	-15	  -20.00	0	    8.00	0	0	475022.00	15	5	NULL
real	MR	8	1	-15	   20.00	1	   -8.00	0	0	479339.00	-3	0	NULL
real	ML	9	1	-15	  -20.00	0	    8.00	0	0	484351.00	-3	0	NULL
real	GL	10	1	15	  -20.00	0	    8.00	0	0	  495.58	-3	7	NULL
real	ER	11	1	-15	   20.00	1	   -8.00	0	0	  482.38	-3	7	NULL
real	RR	12	1	15	   20.00	1	   -8.00	0	0	  430.89	-15	5	NULL
real	HL	13	1	15	  -20.00	0	    8.00	0	0	  408.92	-3	5	NULL
real	IL	14	1	-15	  -20.00	0	    8.00	0	0	505800.00	-15	0	NULL
real	NR	15	1	15	   20.00	1	   -8.00	0	0	512348.00	-3	0	NULL
real	RL	16	1	15	  -20.00	0	    8.00	0	0	  395.48	-15	5	NULL
real	HR	17	1	15	   20.00	1	   -8.00	0	0	  445.29	-3	5	NULL
real	PR	18	1	15	   20.00	1	   -8.00	0	0	527563.00	15	5	NULL
real	OR	19	1	-15	   20.00	1	   -8.00	0	0	534382.00	15	5	NULL
real	BL	20	1	15	  -20.00	0	    8.00	0	0	  732.39	-15	7	NULL
real	JL	21	1	15	  -20.00	0	    8.00	0	0	541993.00	-15	0	NULL
real	AL	22	1	-15	  -20.00	0	    8.00	0	0	  434.53	-15	7	NULL
real	LL	23	1	15	  -20.00	0	    8.00	0	0	557721.00	15	0	NULL
real	CL	24	1	-15	  -20.00	0	    8.00	0	0	561581.00	15	7	NULL
real	KL	25	1	-15	  -20.00	0	    8.00	0	0	565481.00	15	0	NULL
real	EL	26	1	-15	  -20.00	0	    8.00	0	0	  398.34	-3	7	NULL
real	AR	27	1	-15	   20.00	1	   -8.00	0	0	  388.72	-15	7	NULL
real	BR	28	1	15	   20.00	1	   -8.00	0	0	  431.20	-15	7	NULL
real	FR	29	1	-15	   20.00	1	   -8.00	0	0	  438.04	-3	5	NULL
real	JR	30	1	15	   20.00	1	   -8.00	0	0	593212.00	-15	0	NULL
real	FL	31	1	-15	  -20.00	0	    8.00	0	0	  364.34	-3	5	NULL
real	DR	32	1	15	   20.00	1	   -8.00	0	0	604410.00	15	7	NULL
real	LR	33	1	15	   20.00	1	   -8.00	0	0	610882.00	15	0	NULL
real	QR	34	1	-15	   20.00	1	   -8.00	0	0	  367.11	-15	5	NULL
real	DL	35	1	15	  -20.00	0	    8.00	0	0	618760.00	15	7	NULL
real	IR	36	1	-15	   20.00	1	   -8.00	0	0	623481.00	-15	0	NULL
real	AL	37	2	-15	  -12.00	0	    8.00	0	0	  412.97	-15	7	NULL
real	LR	38	2	15	   12.00	1	   -8.00	0	0	636970.00	15	0	NULL
real	PL	39	2	15	  -12.00	0	    8.00	0	0	642073.00	15	5	NULL
real	RR	40	2	15	   12.00	1	   -8.00	0	0	 1057.33	-15	5	NULL
real	IR	41	2	-15	   12.00	1	   -8.00	0	0	652006.00	-15	0	NULL
real	RL	42	2	15	  -12.00	0	    8.00	0	0	 1130.72	-15	5	NULL
real	QL	43	2	-15	  -12.00	0	    8.00	0	0	  370.76	-15	5	NULL
real	LL	44	2	15	  -12.00	0	    8.00	0	0	664430.00	15	0	NULL
real	JL	45	2	15	  -12.00	0	    8.00	0	0	668238.00	-15	0	NULL
