Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
200205ts	1	False	real	RL	1	1	15	  -20.00	1	   -8.00	0	0	20064.81	-15	5	NULL
200205ts	3	False	real	KR	2	1	-15	   20.00	1	   -8.00	0	0	669725.00	15	0	NULL
200205ts	4	False	real	NR	3	1	15	   20.00	1	   -8.00	0	0	675109.00	-3	0	NULL
200205ts	5	False	real	EL	4	1	-15	  -20.00	0	    8.00	0	0	  636.38	-3	7	NULL
200205ts	6	False	real	ER	5	1	-15	   20.00	1	   -8.00	0	0	  436.53	-3	7	NULL
200205ts	7	False	real	ML	6	1	-15	  -20.00	0	    8.00	0	0	698598.00	-3	0	NULL
200205ts	10	False	real	JR	7	1	15	   20.00	1	   -8.00	0	0	721007.00	-15	0	NULL
200205ts	11	False	real	OL	8	1	-15	  -20.00	0	    8.00	0	0	727250.00	15	5	NULL
200205ts	12	False	real	CR	9	1	-15	   20.00	1	   -8.00	0	0	735693.00	15	7	NULL
200205ts	14	False	real	NL	10	1	15	  -20.00	0	    8.00	0	0	746799.00	-3	0	NULL
200205ts	15	False	real	KL	11	1	-15	  -20.00	0	    8.00	0	0	752441.00	15	0	NULL
200205ts	16	False	real	FL	12	1	-15	  -20.00	0	    8.00	0	0	  582.73	-3	5	NULL
200205ts	17	False	real	DL	13	1	15	  -20.00	0	    8.00	0	0	764209.00	15	7	NULL
200205ts	18	False	real	JL	14	1	15	  -20.00	0	    8.00	0	0	769320.00	-15	0	NULL
200205ts	19	False	real	IR	15	1	-15	   20.00	1	   -8.00	0	0	776611.00	-15	0	NULL
200205ts	20	False	real	QL	16	1	-15	  -20.00	0	    8.00	0	0	  425.46	-15	5	NULL
200205ts	21	False	real	HL	17	1	15	  -20.00	0	    8.00	0	0	  485.32	-3	5	NULL
200205ts	22	False	real	BR	18	1	15	   20.00	1	   -8.00	0	0	  666.17	-15	7	NULL
200205ts	23	False	real	GL	19	1	15	  -20.00	0	    8.00	0	0	  461.86	-3	7	NULL
200205ts	24	False	real	OR	20	1	-15	   20.00	1	   -8.00	0	0	802157.00	15	5	NULL
200205ts	25	False	real	FR	21	1	-15	   20.00	1	   -8.00	0	0	  522.02	-3	5	NULL
200205ts	27	False	real	RR	22	1	15	   20.00	1	   -8.00	0	0	  446.08	-15	5	NULL
200205ts	28	False	real	IL	23	1	-15	  -20.00	0	    8.00	0	0	828009.00	-15	0	NULL
200205ts	30	False	real	PR	24	1	15	   20.00	1	   -8.00	0	0	837088.00	15	5	NULL
200205ts	32	False	real	QR	25	1	-15	   20.00	1	   -8.00	0	0	  661.70	-15	5	NULL
200205ts	33	False	real	HR	26	1	15	   20.00	1	   -8.00	0	0	  643.93	-3	5	NULL
200205ts	34	False	real	GR	27	1	15	   20.00	1	   -8.00	0	0	  561.92	-3	7	NULL
200205ts	36	False	real	MR	28	1	-15	   20.00	1	   -8.00	0	0	873313.00	-3	0	NULL
200205ts	37	False	real	AL	29	1	-15	  -20.00	0	    8.00	0	0	  858.14	-15	7	NULL
200205ts	38	False	real	CL	30	1	-15	  -20.00	0	    8.00	0	0	883964.00	15	7	NULL
