Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
200206SM	1	False	real	GL	1	1	15	  -20.00	0	    8.00	0	0	 2458.71	-3	7	NULL
200206SM	2	False	real	KL	2	1	-15	  -20.00	0	    8.00	0	0	621582.00	15	0	NULL
200206SM	3	False	real	ML	3	1	-15	  -20.00	0	    8.00	0	0	630577.00	-3	0	NULL
200206SM	4	False	real	FR	4	1	-15	   20.00	1	   -8.00	0	0	  613.94	-3	5	NULL
200206SM	5	False	real	GR	5	1	15	   20.00	1	   -8.00	0	0	  620.67	-3	7	NULL
200206SM	6	False	real	BL	6	1	15	  -20.00	0	    8.00	0	0	 1030.80	-15	7	NULL
200206SM	7	False	real	IR	7	1	-15	   20.00	1	   -8.00	0	0	678669.00	-15	0	NULL
200206SM	8	False	real	FL	8	1	-15	  -20.00	0	    8.00	0	0	  615.83	-3	5	NULL
200206SM	9	False	real	HR	9	1	15	   20.00	1	   -8.00	0	0	  750.23	-3	5	NULL
200206SM	11	False	real	DR	10	1	15	   20.00	1	   -8.00	0	0	700427.00	15	7	NULL
200206SM	12	False	real	RL	11	1	15	  -20.00	0	    8.00	0	0	  599.96	-15	5	NULL
200206SM	13	False	real	PL	12	1	15	  -20.00	0	    8.00	0	0	712547.00	15	5	NULL
200206SM	14	False	real	CR	13	1	-15	   20.00	1	   -8.00	0	0	718465.00	15	7	NULL
200206SM	15	False	real	JR	14	1	15	   20.00	1	   -8.00	0	0	723070.00	-15	0	NULL
200206SM	16	False	real	HL	15	1	15	  -20.00	0	    8.00	0	0	  550.60	-3	5	NULL
200206SM	17	False	real	RR	16	1	15	   20.00	1	   -8.00	0	0	  817.66	-15	5	NULL
200206SM	18	False	real	NL	17	1	15	  -20.00	0	    8.00	0	0	737523.00	-3	0	NULL
200206SM	19	False	real	IL	18	1	-15	  -20.00	0	    8.00	0	0	742258.00	-15	0	NULL
200206SM	20	False	real	DL	19	1	15	  -20.00	0	    8.00	0	0	747321.00	15	7	NULL
200206SM	21	False	real	NR	20	1	15	   20.00	1	   -8.00	0	0	752484.00	-3	0	NULL
200206SM	22	False	real	OL	21	1	-15	  -20.00	0	    8.00	0	0	759766.00	15	5	NULL
200206SM	23	False	real	OR	22	1	-15	   20.00	1	   -8.00	0	0	765180.00	15	5	NULL
200206SM	24	False	real	BR	23	1	15	   20.00	1	   -8.00	0	0	  686.74	-15	7	NULL
200206SM	25	False	real	CL	24	1	-15	  -20.00	0	    8.00	0	0	778753.00	15	7	NULL
200206SM	26	False	real	KR	25	1	-15	   20.00	1	   -8.00	0	0	784394.00	15	0	NULL
200206SM	27	False	real	AR	26	1	-15	   20.00	1	   -8.00	0	0	  686.86	-15	7	NULL
200206SM	28	False	real	ER	27	1	-15	   20.00	1	   -8.00	0	0	  472.74	-3	7	NULL
200206SM	29	False	real	AL	28	1	-15	  -20.00	0	    8.00	0	0	  706.54	-15	7	NULL
200206SM	31	False	real	EL	29	1	-15	  -20.00	0	    8.00	0	0	  483.29	-3	7	NULL
200206SM	32	False	real	PR	30	1	15	   20.00	1	   -8.00	0	0	816133.00	15	5	NULL
200206SM	33	False	real	MR	31	1	-15	   20.00	1	   -8.00	0	0	821195.00	-3	0	NULL
200206SM	36	False	real	JL	32	1	15	  -20.00	0	    8.00	0	0	832949.00	-15	0	NULL
200206SM	37	False	real	QR	33	1	-15	   20.00	1	   -8.00	0	0	  661.20	-15	5	NULL
200206SM	38	False	real	LR	34	1	15	   20.00	1	   -8.00	0	0	843317.00	15	0	NULL
200206SM	39	False	real	LL	35	1	15	  -20.00	0	    8.00	0	0	850218.00	15	0	NULL
200206SM	40	False	real	QL	36	1	-15	  -20.00	0	    8.00	0	0	  486.08	-15	5	NULL
200206SM	42	False	real	GL	37	2	15	  -12.00	0	    8.00	0	0	  465.40	-3	7	NULL
200206SM	43	False	real	FL	38	2	-15	  -12.00	0	    8.00	0	0	 1088.68	-3	5	NULL
200206SM	44	False	real	DL	39	2	15	  -12.00	0	    8.00	0	0	876935.00	15	7	NULL
200206SM	45	False	real	KL	40	2	-15	  -12.00	0	    8.00	0	0	882270.00	15	0	NULL
200206SM	46	False	real	HR	41	2	15	   12.00	1	   -8.00	0	0	  508.98	-3	5	NULL
200206SM	47	False	real	JL	42	2	15	  -12.00	0	    8.00	0	0	892496.00	-15	0	NULL
200206SM	48	False	real	ER	43	2	-15	   12.00	1	   -8.00	0	0	  591.93	-3	7	NULL
200206SM	49	False	real	AR	44	2	-15	   12.00	1	   -8.00	0	0	  537.61	-15	7	NULL
200206SM	50	False	real	RR	45	2	15	   12.00	1	   -8.00	0	0	  702.71	-15	5	NULL
200206SM	51	False	real	CR	46	2	-15	   12.00	1	   -8.00	0	0	915645.00	15	7	NULL
200206SM	52	False	real	ML	47	2	-15	  -12.00	0	    8.00	0	0	921584.00	-3	0	NULL
200206SM	54	False	real	FR	48	2	-15	   12.00	1	   -8.00	0	0	  488.51	-3	5	NULL
200206SM	55	False	real	DR	49	2	15	   12.00	1	   -8.00	0	0	936809.00	15	7	NULL
200206SM	56	False	real	EL	50	2	-15	  -12.00	0	    8.00	0	0	  521.74	-3	7	NULL
200206SM	57	False	real	QL	51	2	-15	  -12.00	0	    8.00	0	0	  629.48	-15	5	NULL
200206SM	58	False	real	HL	52	2	15	  -12.00	0	    8.00	0	0	  496.85	-3	5	NULL
200206SM	59	False	real	BR	53	2	15	   12.00	1	   -8.00	0	0	  555.91	-15	7	NULL
200206SM	60	False	real	KR	54	2	-15	   12.00	1	   -8.00	0	0	963725.00	15	0	NULL
200206SM	61	False	real	QR	55	2	-15	   12.00	1	   -8.00	0	0	  616.00	-15	5	NULL
200206SM	63	False	real	OL	56	2	-15	  -12.00	0	    8.00	0	0	976916.00	15	5	NULL
200206SM	64	False	real	JR	57	2	15	   12.00	1	   -8.00	0	0	981486.00	-15	0	NULL
200206SM	67	False	real	CL	58	2	-15	  -12.00	0	    8.00	0	0	993608.00	15	7	NULL
200206SM	68	False	real	AL	59	2	-15	  -12.00	0	    8.00	0	0	  572.26	-15	7	NULL
200206SM	69	False	real	NR	60	2	15	   12.00	1	   -8.00	0	0	1004135.00	-3	0	NULL
200206SM	70	False	real	NL	61	2	15	  -12.00	0	    8.00	0	0	1008875.00	-3	0	NULL
200206SM	71	False	real	PR	62	2	15	   12.00	1	   -8.00	0	0	1015353.00	15	5	NULL
200206SM	72	False	real	IR	63	2	-15	   12.00	1	   -8.00	0	0	1019841.00	-15	0	NULL
200206SM	73	False	real	RL	64	2	15	  -12.00	0	    8.00	0	0	  476.49	-15	5	NULL
200206SM	74	False	real	IL	65	2	-15	  -12.00	0	    8.00	0	0	1029180.00	-15	0	NULL
200206SM	75	False	real	BL	66	2	15	  -12.00	0	    8.00	0	0	  614.14	-15	7	NULL
200206SM	76	False	real	GR	67	2	15	   12.00	1	   -8.00	0	0	  477.12	-3	7	NULL
200206SM	77	False	real	LR	68	2	15	   12.00	1	   -8.00	0	0	1046056.00	15	0	NULL
200206SM	78	False	real	PL	69	2	15	  -12.00	0	    8.00	0	0	1051085.00	15	5	NULL
200206SM	79	False	real	MR	70	2	-15	   12.00	1	   -8.00	0	0	1062997.00	-3	0	NULL
200206SM	80	False	real	LL	71	2	15	  -12.00	0	    8.00	0	0	1068079.00	15	0	NULL
200206SM	81	False	real	OR	72	2	-15	   12.00	1	   -8.00	0	0	1073033.00	15	5	NULL
200206SM	82	False	real	QL	73	3	-15	   -4.00	0	    8.00	0	0	 2390.38	-15	5	NULL
200206SM	83	False	real	NL	74	3	15	   -4.00	0	    8.00	0	0	1084591.00	-3	0	NULL
200206SM	84	False	real	AR	75	3	-15	    4.00	1	   -8.00	0	0	  653.02	-15	7	NULL
200206SM	85	False	real	FL	76	3	-15	   -4.00	1	   -4.00	1	1	 1404.29	-3	5	NULL
200206SM	86	False	real	AL	77	3	-15	   -4.00	0	    8.00	0	0	  912.86	-15	7	NULL
200206SM	87	False	real	OL	78	3	-15	   -4.00	1	   -4.00	1	1	1107868.00	15	5	NULL
200206SM	88	False	real	NR	79	3	15	    4.00	0	    4.00	1	1	1113486.00	-3	0	NULL
200206SM	89	False	real	IR	80	3	-15	    4.00	1	   -8.00	0	0	1120616.00	-15	0	NULL
200206SM	90	False	real	RR	81	3	15	    4.00	1	   -8.00	0	0	 2255.59	-15	5	NULL
200206SM	91	False	real	ML	82	3	-15	   -4.00	1	   -4.00	1	1	1133805.00	-3	0	NULL
200206SM	92	False	real	HR	83	3	15	    4.00	1	   -8.00	0	0	  766.87	-3	5	NULL
200206SM	93	False	real	JL	84	3	15	   -4.00	0	    8.00	0	0	1144587.00	-15	0	NULL
200206SM	94	False	real	FR	85	3	-15	    4.00	1	   -8.00	0	0	  816.36	-3	5	NULL
200206SM	95	False	real	LR	86	3	15	    4.00	1	   -8.00	0	0	1157393.00	15	0	NULL
200206SM	96	False	real	GL	87	3	15	   -4.00	0	    8.00	0	0	  796.52	-3	7	NULL
