Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
200207ss	1	False	real	QR	1	1	-15	   20.00	0	    8.00	0	0	 6652.02	-15	5	NULL
200207ss	2	False	real	KR	2	1	-15	   20.00	1	   -8.00	0	0	368677.00	15	0	NULL
200207ss	3	False	real	LR	3	1	15	   20.00	1	   -8.00	0	0	387608.00	15	0	NULL
200207ss	4	False	real	FL	4	1	-15	  -20.00	0	    8.00	0	0	  607.13	-3	5	NULL
200207ss	5	False	real	QL	5	1	-15	  -20.00	0	    8.00	0	0	  456.65	-15	5	NULL
200207ss	6	False	real	CR	6	1	-15	   20.00	1	   -8.00	0	0	407122.00	15	7	NULL
200207ss	7	False	real	JL	7	1	15	  -20.00	0	    8.00	0	0	414274.00	-15	0	NULL
200207ss	8	False	real	AR	8	1	-15	   20.00	1	   -8.00	0	0	  572.48	-15	7	NULL
200207ss	9	False	real	KL	9	1	-15	  -20.00	0	    8.00	0	0	425462.00	15	0	NULL
200207ss	10	False	real	OR	10	1	-15	   20.00	1	   -8.00	0	0	433069.00	15	5	NULL
200207ss	11	False	real	PL	11	1	15	  -20.00	0	    8.00	0	0	440507.00	15	5	NULL
200207ss	12	False	real	GR	12	1	15	   20.00	1	   -8.00	0	0	  566.87	-3	7	NULL
200207ss	13	False	real	ER	13	1	-15	   20.00	1	   -8.00	0	0	  641.73	-3	7	NULL
200207ss	14	False	real	CL	14	1	-15	  -20.00	0	    8.00	0	0	460748.00	15	7	NULL
200207ss	15	False	real	DR	15	1	15	   20.00	1	   -8.00	0	0	467367.00	15	7	NULL
200207ss	16	False	real	HL	16	1	15	  -20.00	0	    8.00	0	0	  481.99	-3	5	NULL
200207ss	17	False	real	IL	17	1	-15	  -20.00	0	    8.00	0	0	476997.00	-15	0	NULL
200207ss	18	False	real	MR	18	1	-15	   20.00	1	   -8.00	0	0	482206.00	-3	0	NULL
